,DE,G-Net,IGAP,Jensen,Mod-Net,Names,Score
4923,-1.0654138218222133,2.614235559746217,1.999999999999999e-308,1.999999999999999e-308,7.1533685849157145,APOC1,42.92302829453678
4921,1.1160401909844595,1.1015876289723112,1.999999999999999e-308,1.999999999999999e-308,1.035914883163845,APOE,41.746784192242444
11626,3.6210153035908066,-7.720763465010596,4.662999999999998e-69,1.5990575206899988e-143,-1.846731007019998,BCAM,5.881170201659832
319,7.122673510214351,11.764566390423372,0.1198,0.0193,9.055415665510269,CD74,4.918933082380988
1716,8.008561149517114,8.86307749761182,0.001072,2.954e-15,8.696196348910878,TREM2,4.652537510190175
2463,-1.0687352448204293,-1.0511414611883696,2.799e-21,7.065523997119998e-50,4.989455247008197,CLPTM1,4.577628952844258
355,3.7305221124878702,8.641305041467767,0.03522,0.00593611585234,11.576028358171275,DEF6,4.284925577820014
7690,1.3642527129881552,13.005199763546047,0.02362,0.00229165022619,8.597758975086013,SLC7A7,4.052868810301896
5442,1.9618106461599532,6.815394728478226,0.0048200000000000005,0.0009139,12.3492847240497,DOCK2,3.715153961955887
818,2.7068459873891784,6.488618019966775,1.986e-06,1.0638957176e-06,9.353182144410864,SPI1,3.624853666223477
3546,3.706689573828774,7.29679051284511,0.02212,3.626e-05,8.883038577765255,STEAP3,3.6065494501402684
1058,2.1146561978105347,4.757191675885214,1.908e-12,2.18539660681e-18,6.19406141172428,PICALM,3.5612886391209466
1871,6.685349098222108,5.494059358754406,0.1434,0.01156,8.181647690215032,HMOX1,3.5590686791679857
4140,3.8138656416509233,2.6362863323556853,2.477e-17,2.6082157709000003e-19,5.467758225134551,CLU,3.553493305700872
3060,1.453661264500391,3.2104913446450425,6.635e-11,1.55045960996e-15,6.184718151157078,MS4A6A,3.5515917413611815
4792,1.8186246248389872,11.327203428490593,0.01479,0.01206,5.683713866609658,IRF5,3.451124493974862
249,3.114195201314157,9.265655595896684,0.05396,0.01341,6.960838252814945,TYROBP,3.4449174925397177
6090,1.5373417503516849,9.339851226921411,0.001046,0.01438,8.578176487906813,PARVG,3.417148964289308
87,2.1657571514774934,9.47453695535865,0.004361,0.000191852856532,6.749828319143141,ITGAL,3.412370604477047
1290,2.9183127242466216,7.848215821486203,0.007243,0.00212411310772,7.621000126549306,PTPRC,3.3253006325671675
9506,2.7988328254054684,10.102978012861168,0.1149,0.008302,5.660223328746361,LGALS9,3.2584629205281974
2083,-0.8506371416496379,9.784618366087953,0.01994,0.0169,9.514671568353494,HCK,3.2472880599995864
8115,1.0580307525039516,9.182108606614129,0.0,0.0,9.221849597389767,GAB3,3.2436648260846406
8260,5.30082191407704,3.4130598740973483,0.08224,0.015280000000000004,8.897718482184173,CXCL16,3.1714757063928256
4330,-1.3375729035702575,8.76681731538596,0.0261,0.00451,10.438318887445833,NCKAP1L,3.164180508493515
8448,1.468138031914247,6.683797105509629,0.08599,0.0273034026488,8.849384140516333,CTSS,3.0671308787506013
13186,0.02664060090313616,8.416364250752594,0.02517,0.005065,8.7905613278842,HLA-DPA1,3.051592445351927
12534,5.426002102235171,1.1763892340677917,6.714e-07,1.17558870312e-10,3.0587277864721343,HLA-DRA,3.0341660512660136
9498,5.817223353051138,5.969316093938599,0.0,0.0,6.206987846858544,INPP5D,2.99892121564138
8117,1.4388688227637343,4.116641141388589,0.01519,0.00030779986438,10.669631435340062,ITGB2,2.9406354752883126
374,-0.48028858040249095,6.200925609009313,0.0005037,0.02413,10.210427486307186,RNASET2,2.9341033560545196
2505,4.999666882266011,7.471255073174809,0.1834,0.00401349104384,4.04425319451861,RASAL3,2.9205161082199838
2491,3.267640587137367,3.2232217012001296,0.00583,0.00206395746373,8.496634290360193,LILRB1,2.913870141636113
4227,1.104446136238018,6.594810742015793,0.0,0.0,9.732801912849315,SASH3,2.9053431318505205
4050,1.5382708542843428,5.429694720259707,0.005047,0.0032054674571399995,9.341233868869528,IFIT3,2.8781608854497027
5869,1.61226987102916,10.120895192939896,0.007218,0.013069999999999998,4.087512338893386,TLR2,2.8685698423292494
