,Correlation,Feature
74,-0.08130062754264335,DLPFCturquoiseDLPFCcloseness
77,-0.0794120936644617,DLPFCturquoiseDLPFCpagerank
146,0.07932003491471305,PHGgreenPHGcloseness
111,0.07925129959852595,IFGblueIFGeccentricity
145,0.0792393071386674,PHGgreenPHGauthority_score
149,0.07855404282472896,PHGgreenPHGpagerank
31,-0.07779375180369004,CBEyellowCBEauthority_score
32,-0.07779169632370968,CBEyellowCBEcloseness
108,0.077721794278899,IFGblueIFGdegree
105,-0.07755699023818349,FPyellowFPeccentricity
102,-0.07753011981620851,FPyellowFPdegree
35,-0.07691733228561724,CBEyellowCBEpagerank
110,0.07562679023167632,IFGblueIFGcloseness
113,0.07421369208922136,IFGblueIFGpagerank
73,-0.07373763001420548,DLPFCturquoiseDLPFCauthority_score
72,-0.07348634912343954,DLPFCturquoiseDLPFCdegree
112,0.07156952076885997,IFGblueIFGcentr_betw
116,-0.06840360841129706,IFGbrownIFGcloseness
115,-0.06840163274907472,IFGbrownIFGauthority_score
119,-0.068381921065287,IFGbrownIFGpagerank
172,-0.06775855257887806,STGbrownSTGcentr_betw
167,-0.06644138503274284,STGblueSTGpagerank
181,-0.06435624587023307,STGyellowSTGauthority_score
163,-0.06434323392495857,STGblueSTGauthority_score
182,-0.06426654175628022,STGyellowSTGcloseness
185,-0.06423836553517363,STGyellowSTGpagerank
164,-0.0637904264843579,STGblueSTGcloseness
162,-0.06273044275882747,STGblueSTGdegree
75,-0.06243704582758073,DLPFCturquoiseDLPFCeccentricity
61,-0.06007747616169832,DLPFCpinkDLPFCauthority_score
64,-0.058658668457909145,DLPFCpinkDLPFCcentr_betw
169,-0.056978757983243235,STGbrownSTGauthority_score
62,-0.05664074713408052,DLPFCpinkDLPFCcloseness
60,-0.056603570120961864,DLPFCpinkDLPFCdegree
65,-0.05660293747835667,DLPFCpinkDLPFCpagerank
63,-0.05653978604858904,DLPFCpinkDLPFCeccentricity
134,0.05313501040295444,PHGbluePHGcloseness
226,-0.05231150256236335,TCXpinkTCXcentr_betw
137,0.05217707983049292,PHGbluePHGpagerank
117,-0.05128282800631359,IFGbrownIFGeccentricity
114,-0.051276596457476155,IFGbrownIFGdegree
106,-0.049692920806439285,FPyellowFPcentr_betw
37,-0.043855867316450865,DLPFCblackDLPFCauthority_score
38,-0.04368261389852426,DLPFCblackDLPFCcloseness
41,-0.04279417312891459,DLPFCblackDLPFCpagerank
233,-0.04272840240946229,TCXpurpleTCXpagerank
230,-0.0427222837255389,TCXpurpleTCXcloseness
40,-0.04260353132506917,DLPFCblackDLPFCcentr_betw
36,-0.04195168949992627,DLPFCblackDLPFCdegree
118,-0.04015916218664546,IFGbrownIFGcentr_betw
39,-0.03956577239940702,DLPFCblackDLPFCeccentricity
229,-0.03908959060902879,TCXpurpleTCXauthority_score
166,-0.03669596175588756,STGblueSTGcentr_betw
206,-0.034983835702236885,TCXgreenTCXcloseness
209,-0.03496942562106853,TCXgreenTCXpagerank
228,-0.03247096316184281,TCXpurpleTCXdegree
231,-0.032454291351063834,TCXpurpleTCXeccentricity
135,0.03069538059047262,PHGbluePHGeccentricity
222,-0.030494758898147734,TCXpinkTCXdegree
14,-0.03005274036073653,CBEgreenCBEcloseness
13,-0.03005272416971603,CBEgreenCBEauthority_score
17,-0.030052305157718135,CBEgreenCBEpagerank
205,-0.029777158100821457,TCXgreenTCXauthority_score
237,-0.028420384832544793,TCXredTCXeccentricity
217,-0.027918250355560163,TCXmagentaTCXauthority_score
183,-0.02790339358491656,STGyellowSTGeccentricity
180,-0.027875191675456802,STGyellowSTGdegree
15,-0.02787307692353283,CBEgreenCBEeccentricity
12,-0.02786893566595509,CBEgreenCBEdegree
225,-0.027806593254203486,TCXpinkTCXeccentricity
204,-0.026959989735322838,TCXgreenTCXdegree
207,-0.026957769012102454,TCXgreenTCXeccentricity
133,0.026754345776695512,PHGbluePHGauthority_score
220,-0.026303555309964134,TCXmagentaTCXcentr_betw
132,0.026039321343374635,PHGbluePHGdegree
208,-0.025765122966059532,TCXgreenTCXcentr_betw
219,-0.02573957985418127,TCXmagentaTCXeccentricity
216,-0.02573238725117153,TCXmagentaTCXdegree
232,-0.023624959066016877,TCXpurpleTCXcentr_betw
21,-0.022965554457131103,CBEredCBEeccentricity
18,-0.022888727712469078,CBEredCBEdegree
89,-0.022834678514142087,FPblueFPpagerank
85,-0.02283064012814866,FPblueFPauthority_score
86,-0.02283056779034517,FPblueFPcloseness
218,-0.021974571562686958,TCXmagentaTCXcloseness
221,-0.02196948917751451,TCXmagentaTCXpagerank
234,-0.021519128862689314,TCXredTCXdegree
22,-0.021005895914974097,CBEredCBEcentr_betw
99,0.018076172044092755,FPturquoiseFPeccentricity
19,-0.01787021171043309,CBEredCBEauthority_score
20,-0.017855811290760023,CBEredCBEcloseness
23,-0.017848151945592913,CBEredCBEpagerank
238,-0.017463694689527118,TCXredTCXcentr_betw
97,0.01672085257365969,FPturquoiseFPauthority_score
98,0.01652364193979689,FPturquoiseFPcloseness
184,-0.01630891347709419,STGyellowSTGcentr_betw
101,0.0162059633496394,FPturquoiseFPpagerank
223,-0.01584249649599069,TCXpinkTCXauthority_score
224,-0.015744346780424124,TCXpinkTCXcloseness
96,0.014246630540592449,FPturquoiseFPdegree
84,-0.013990585069474804,FPblueFPdegree
87,-0.01398357163639546,FPblueFPeccentricity
213,-0.01355981034067116,TCXgreenyellowTCXeccentricity
212,-0.013557538060127704,TCXgreenyellowTCXcloseness
210,-0.01355730720512217,TCXgreenyellowTCXdegree
215,-0.01355730720512217,TCXgreenyellowTCXpagerank
211,-0.01355730720512217,TCXgreenyellowTCXauthority_score
88,-0.013044607398825372,FPblueFPcentr_betw
100,-0.012576540827827262,FPturquoiseFPcentr_betw
227,-0.01201984871259546,TCXpinkTCXpagerank
79,0.011078946895858739,DLPFCyellowDLPFCauthority_score
80,0.010481780513852665,DLPFCyellowDLPFCcloseness
235,-0.010412986577501592,TCXredTCXauthority_score
214,-0.009700254423791011,TCXgreenyellowTCXcentr_betw
239,-0.009465987936815303,TCXredTCXpagerank
81,0.009339835016078412,DLPFCyellowDLPFCeccentricity
16,-0.008660853338745127,CBEgreenCBEcentr_betw
78,0.00839015864691431,DLPFCyellowDLPFCdegree
236,-0.00798170052328631,TCXredTCXcloseness
83,0.007655494036446039,DLPFCyellowDLPFCpagerank
127,-0.00715193134013351,IFGyellowIFGauthority_score
126,-0.00715193134013351,IFGyellowIFGdegree
129,-0.007151156086928257,IFGyellowIFGeccentricity
94,-0.006049395286910805,FPbrownFPcentr_betw
90,-0.005784858610771601,FPbrownFPdegree
93,-0.0057841478337487566,FPbrownFPeccentricity
130,-0.005702066149647756,IFGyellowIFGcentr_betw
128,-0.005052092215266468,IFGyellowIFGcloseness
131,-0.005052092215266468,IFGyellowIFGpagerank
92,-0.0033208795955667228,FPbrownFPcloseness
95,-0.0033203051980552666,FPbrownFPpagerank
91,0.0033090769000033646,FPbrownFPauthority_score
82,0.003302165840503531,DLPFCyellowDLPFCcentr_betw
136,-0.002435542403902297,PHGbluePHGcentr_betw
