97,ENSG00000006042
177,ENSG00000008838
249,ENSG00000011600
319,ENSG00000019582
527,ENSG00000048028
749,ENSG00000064687
818,ENSG00000066336
898,ENSG00000068831
899,ENSG00000068878
1053,ENSG00000073712
1058,ENSG00000073921
1081,ENSG00000074660
1192,ENSG00000078061
1270,ENSG00000080815
1289,ENSG00000081189
1374,ENSG00000084234
1687,ENSG00000094975
1716,ENSG00000095970
1753,ENSG00000099337
1871,ENSG00000100292
1906,ENSG00000100379
1956,ENSG00000100599
2056,ENSG00000101194
2163,ENSG00000101977
2215,ENSG00000102468
2533,ENSG00000105281
2613,ENSG00000105722
2670,ENSG00000106100
2761,ENSG00000106976
2906,ENSG00000108518
2931,ENSG00000108684
2942,ENSG00000108798
2973,ENSG00000109084
3364,ENSG00000113070
3383,ENSG00000113296
3482,ENSG00000114405
3534,ENSG00000114978
3546,ENSG00000115107
3873,ENSG00000117868
4050,ENSG00000119917
4066,ENSG00000120049
4136,ENSG00000120837
4140,ENSG00000120885
4143,ENSG00000120899
4330,ENSG00000123338
4412,ENSG00000124251
4496,ENSG00000125355
4740,ENSG00000127993
4882,ENSG00000129667
4895,ENSG00000129968
4921,ENSG00000130203
5278,ENSG00000133019
5314,ENSG00000133275
5464,ENSG00000134755
5544,ENSG00000135318
5580,ENSG00000135525
5605,ENSG00000135697
5652,ENSG00000135966
5751,ENSG00000136717
5779,ENSG00000136859
5867,ENSG00000137449
5873,ENSG00000137491
5894,ENSG00000137642
5921,ENSG00000137821
5930,ENSG00000137845
6013,ENSG00000138434
6434,ENSG00000142192
6446,ENSG00000142347
6585,ENSG00000143514
6618,ENSG00000143751
6630,ENSG00000143801
7161,ENSG00000149187
7500,ENSG00000153132
7535,ENSG00000153563
7562,ENSG00000153982
7683,ENSG00000155366
7915,ENSG00000158019
7990,ENSG00000158859
8054,ENSG00000159640
8185,ENSG00000160862
8219,ENSG00000161249
8461,ENSG00000163219
8463,ENSG00000163235
8539,ENSG00000163632
8884,ENSG00000165379
9057,ENSG00000166342
9078,ENSG00000166448
9085,ENSG00000166473
9176,ENSG00000166987
9188,ENSG00000167106
9190,ENSG00000167110
9384,ENSG00000168246
9452,ENSG00000168672
9464,ENSG00000168763
9498,ENSG00000168918
9506,ENSG00000168961
9584,ENSG00000169507
9739,ENSG00000170604
9755,ENSG00000170745
9982,ENSG00000172349
10106,ENSG00000173327
10135,ENSG00000173559
10185,ENSG00000174021
10371,ENSG00000175766
10494,ENSG00000176971
10574,ENSG00000177663
10618,ENSG00000178038
10630,ENSG00000178175
10655,ENSG00000178445
10717,ENSG00000179083
10742,ENSG00000179344
10898,ENSG00000181163
10929,ENSG00000181631
10973,ENSG00000182141
11091,ENSG00000183077
11222,ENSG00000184144
11246,ENSG00000184271
11341,ENSG00000185043
11469,ENSG00000185896
11677,ENSG00000187796
11781,ENSG00000188848
11853,ENSG00000196126
11861,ENSG00000196159
11916,ENSG00000196407
12191,ENSG00000197943
12224,ENSG00000198087
12270,ENSG00000198363
12295,ENSG00000198502
12309,ENSG00000198576
12313,ENSG00000198597
12526,ENSG00000204257
12752,ENSG00000213186
13186,ENSG00000231389
13327,ENSG00000236754
13580,ENSG00000248890
13725,ENSG00000256043
13790,ENSG00000259417
13826,ENSG00000260260
