,Gene,Y0h,Y0l,Y1h,Y1l,Y3h,Y3l
2714,ENSG00000106538,0.7365272350324218,0.9999530275896065,7.77137127206861e-05,2.4326628074596723e-05,0.6474442704562239,0.9715447238851502
2715,ENSG00000106546,0.24392919987600845,0.0028190031340350114,0.029600724301319704,0.0004299457604136269,0.0011164871605168635,0.00040256059693109044
2716,ENSG00000106554,0.5876734571507829,0.09325533907336196,4.522442113386552e-09,1.7745333082123398e-16,6.0582494218503494e-05,7.882119386460872e-11
2717,ENSG00000106560,0.0441727499656076,0.993186141810128,0.9478554070129361,0.9999988371600401,0.932074005623372,0.9999134075485352
2718,ENSG00000106565,0.69314451888514,0.9751330268388961,0.9647706120220753,0.9999718164933612,0.035776111635376084,0.2355701241464681
2719,ENSG00000106571,0.12996641739690118,0.0014951704290453625,0.15100989923275338,0.9999277066219925,0.5245803981665002,0.11986002427004347
2720,ENSG00000106588,0.5875546823461191,0.09308670302512638,6.512721863477654e-09,6.452275154926891e-12,0.06868085517587497,0.00197968368561201
2721,ENSG00000106591,0.007194075613902162,0.00015886244531488922,6.021177905995448e-11,1.0755291592536423e-12,0.001473005826610335,3.8442121108510495e-10
2722,ENSG00000106603,0.03676466900206853,0.00024508425487189807,1.9956816448166524e-12,6.885873485812292e-14,0.006312777939967372,2.184779546261119e-06
2723,ENSG00000106605,0.5874655945515456,0.09296040562229865,4.5107042677752795e-07,4.830054003512613e-15,0.04087931745860348,0.0012905057056129844
2724,ENSG00000106608,0.04266839073577341,5.944395996852635e-05,3.07265824595778e-07,1.3513050333994946e-06,0.11788277354010364,0.05325780715059004
2725,ENSG00000106609,0.5874061995053068,0.09287629281580086,0.3489212902471249,0.9711916210085877,0.0005498028591545733,1.4541911170000272e-05
2726,ENSG00000106610,0.7067942912181598,0.9608795254743161,2.5101621866188715e-06,5.149742061143958e-07,7.315993808004752e-06,5.164340135672973e-15
2727,ENSG00000106615,0.5873468019144064,0.09279224833063802,0.008418599559408676,0.003295508523437315,0.47163909291972855,0.8094862372915034
2728,ENSG00000106617,0.5873171021652144,0.09275025169561729,2.0678157105283467e-07,5.476019117520068e-12,0.11006414705355257,0.005304072796747819
2729,ENSG00000106624,0.0009377125077676422,0.13012440871216963,8.451857560030371e-08,6.701190597083683e-10,0.9521383833183633,0.9999744962930663
2730,ENSG00000106628,0.5872577007603593,0.092666309614817,0.00016254765285298776,0.1113152034242345,0.2090119500415717,0.012160801781684254
2731,ENSG00000106633,0.007669301692062686,3.293759405290318e-07,0.002330868374037197,0.0008223621123248233,5.147604284923908e-08,2.8754508497570124e-15
2732,ENSG00000106635,0.8295801560510443,0.9865538025023523,5.911397091677185e-07,1.870016351177072e-06,0.35413197927883167,0.5650382701926018
2733,ENSG00000106636,0.6473385600926079,0.99857075753905,0.003488139261967827,0.0011580221791530185,0.34439240752729966,0.9162801314942017
2734,ENSG00000106638,0.5871388903304395,0.09249863006524917,3.172197208394408e-12,2.946539343121539e-16,0.00043980331430304865,8.069772092787607e-12
2735,ENSG00000106648,0.5871091861365978,0.09245675277516947,0.00016322380697377452,1.7552990252222914e-05,0.6131512665127623,0.9975447953065466
2736,ENSG00000106665,0.07858785851820409,0.7961054264811829,4.302737894699643e-12,7.432638513271331e-14,0.8705887215146446,0.9998617584853333
2737,ENSG00000106682,0.0003364118454046878,2.5585855091993964e-06,7.607248616652995e-13,1.4069207711028668e-20,0.002237022509704927,5.900419942633136e-10
2738,ENSG00000106683,0.18310716396281493,9.240390572763594e-06,1.0908741122354754e-07,3.005019112878959e-08,0.027461214613746954,0.0019128810657876377
2739,ENSG00000106686,0.6090007382832375,0.09817669242548793,0.0029698898799638716,0.008844093390523918,1.210220857299212e-08,4.8984345016017084e-17
2740,ENSG00000106688,0.3092530349683519,0.0002424735309913037,7.354293305440668e-10,4.51307155869053e-19,0.33662095084606236,0.5034004036692722
2741,ENSG00000106689,0.14760844776266516,9.762210772944995e-06,0.0006528133979227353,0.047770382371402124,0.6447133986866368,0.9678300070197445
2742,ENSG00000106692,0.008471856810492433,3.3186390133769844e-05,5.506778428838814e-09,1.4258964514964954e-09,0.09279601231311002,0.0009247334180661963
2743,ENSG00000106701,0.7254229660008666,0.913385521385965,1.5019523748838226e-09,6.554831835609318e-09,0.0004170997262914101,3.772315390499013e-08
2744,ENSG00000106714,0.5868418198800843,0.09208062282904213,2.4598539028939955e-07,1.298012646295308e-06,0.8631073748316069,0.9980035946001066
2745,ENSG00000106723,0.07766431501893942,0.045629567623544594,1.4383211604106747e-08,9.565671456522418e-10,0.7077574354747652,0.9998804526246543
2746,ENSG00000106733,0.5867823981957524,0.09199722533126176,0.0025919841016799005,0.0011443868916723408,1.490850911782581e-08,3.980949821032763e-18
2747,ENSG00000106771,0.07114901412201616,0.4152927188965975,2.5732136265848126e-06,2.93560244163936e-09,2.7955211642321858e-05,4.643658440705337e-12
2748,ENSG00000106772,0.5867229739837868,0.09191389572000717,4.196575862348654e-10,2.2227294732802613e-16,0.10753979438516277,0.4973322739589853
2749,ENSG00000106780,0.009635233526004481,0.3416871215799252,5.103192843955866e-11,7.406214468929264e-13,0.05522467280415476,0.014087068947361392
2750,ENSG00000106785,0.8669651893842905,0.9999856394122191,2.4340910356365646e-05,0.00755189502660987,0.1562499136634904,0.021069711832332864
2751,ENSG00000106789,0.6521172493736432,0.8573608356381893,1.95780803691127e-09,6.206033450563994e-11,0.06001243198093762,0.0004900897470685449
2752,ENSG00000106799,0.7233548081671893,0.2026331697839724,0.9987680017078723,0.9999727025085289,1.4953109063852258e-05,0.9999844861840702
2753,ENSG00000106803,0.46521378989088025,0.12182435075522861,0.0057334973183739936,0.0017036298392259833,0.23352392823441845,0.5373814360120402
2754,ENSG00000106804,0.029384737959137725,0.044490694417192056,2.6555948016164975e-07,4.4141628309135375e-05,0.030709630292580285,0.00330783919482947
2755,ENSG00000106823,0.15364196267459035,0.9996027279467988,0.0007546191949710666,0.18056373317474045,0.01692357930290247,5.779442146187409e-06
2756,ENSG00000106829,0.24300382192411313,0.0027620749127909186,9.439839260939808e-07,1.873357221401541e-07,0.12365887425104674,0.0011685431779940964
2757,ENSG00000106852,0.00039574464110549515,0.0007063816669066047,3.329333326248521e-05,0.0006408333483626926,0.856995037504155,0.9999700865988318
2758,ENSG00000106853,0.00033554756538738893,2.5319151413948563e-06,2.2468394404284106e-07,2.832675821340191e-06,0.0626763114035452,0.004560527214361278
2759,ENSG00000106868,0.35124594590747776,0.00046694349266705395,0.005785129948503174,0.07211875241850496,0.2833662713353561,0.10255488322414845
2760,ENSG00000106948,0.009898128328865314,7.742885311838493e-05,0.9920141292185312,0.9999999116772516,0.8520505207045602,0.9997182743249652
2761,ENSG00000106976,0.5180331306072905,0.20868416743327853,0.9570459809276987,0.9936995881158956,0.7537507440180484,0.9924214528207069
2762,ENSG00000106991,0.9615040853584617,0.999999678089777,0.00986645459708471,0.07141224679380717,0.2216791087877904,0.8636921171378626
