,GeneSymb,MeanPval,OR,Pval,Y
0,LAT2,-2.151690150992176,6.704275561826938,0.000773109,0.9999998024284749
1,TGDS,-2.59852094774145,0.6873125356986696,0.000611326,0.8295718040345001
2,CPD,-1.8365960908355534,0.39470746707473614,0.000137946,0.7127642738194961
3,CDR2L,-1.9649546726217813,4.605680677688658,0.00194194,0.9999752081717136
4,PTK2B,-3.02397165997191,0.4222545634488785,4.86436e-05,0.7255731320611087
5,LRFN5,-2.869313549771611,7.492941945747186,0.000130411,0.9999999678590995
6,RAB6A,-2.059554116771614,6.924746698166062,0.000213075,0.9999998810804519
7,ANKIB1,-2.106695354472322,9.789883078767696,6.80107e-05,0.9999999998377753
8,RASAL2,-2.9630264925251106,5.253913022581524,4.18262e-05,0.9999944270575647
9,ADAMTS4,-1.9807813379379513,3.4135353179416845,0.000630765,0.9996142578257744
10,ALS2CL,-2.0888018572564397,5.006432867929607,0.000267367,0.9999901471277243
11,TYROBP,-2.0852897576673453,5.9367532265354175,0.000574485,0.9999988432319867
12,NTRK2,-2.678795294681548,11.019223597412054,0.000117018,0.999999999990433
13,APBB3,-1.9411244172761046,1.9992371643177969,0.00170747,0.9900817762277312
14,DENND3,-2.777702392114502,9.013165403520285,0.000411467,0.9999999990298596
15,HLA-DPA1,-2.8239248994222548,6.81497465322671,5.38983e-05,0.9999998468823411
16,ARHGAP27,-2.200578279047292,8.672087925263082,0.000291326,0.9999999978722918
17,SV2A,-2.117774752442985,3.4582889819840443,0.000518019,0.9996520155288139
18,C3orf14,-2.1479647994601265,1.4037047613657816,0.00122783,0.962026361525326
19,NABP1,-2.2378679003573203,5.023947908682685,0.00157498,0.9999905365829141
20,LIPA,-1.9939286181178613,7.574702400574522,0.000334897,0.9999999733745113
21,TMUB1,-1.9303683280185493,3.4681889636991996,0.000681131,0.9996598556289462
22,HK2,-2.1614496280090907,1.773926851611292,0.000126171,0.9834489717865101
23,SSFA2,-2.7076515758900173,8.308611329203572,0.000145452,0.9999999950865259
24,HLA-DRB1,-2.3684298176564007,8.843882512672408,9.26102e-05,0.9999999985674246
25,MUC4,-2.6469056934434563,3.128654912499828,6.03996e-05,0.9992569427740375
26,GPATCH4,-2.3655786518069024,0.04856975155182806,0.000370475,0.5279298919402646
27,CTSS,-1.4539845205372988,6.81845700268527,0.00278569,0.9999998481051913
28,PDE8B,-3.0485724564958203,4.257147721423299,0.000135006,0.9999446868673038
29,CXCL16,-2.268109526081159,11.332645321479427,0.000465074,0.999999999995351
30,ADCY7,-1.9180103277368337,8.81405118239148,0.00070225,0.9999999984655639
31,KCTD17,-2.1348824943063063,2.5113293836740413,0.00127524,0.9969286120445352
32,ARPC1B,-2.1112432075636707,5.562516091404944,0.000206561,0.9999972616893257
33,APP,-2.3384467937133615,8.486251892493756,0.000821557,0.9999999967360154
34,STXBP3,-1.9782487092499585,7.0090696260458785,9.5814e-05,0.999999902066713
35,RFX2,-2.1002191202573663,6.986100613593158,0.00017357,0.9999998967477934
36,SYT7,-2.164905407752862,3.213733411824209,0.000293113,0.9993890563184765
37,ANGPTL2,-2.1850553355199827,8.198177389878921,0.00027632,0.9999999936638915
38,NETO1,-2.8277660681137426,2.2829836662798018,0.000171593,0.9948148824399697
39,SLC2A5,-2.245667253740031,7.249073992228971,0.000183674,0.9999999436458397
40,NFATC2,-2.8726409590547592,2.379232281845605,0.000107002,0.9958412975269306
41,TRIM38,-1.6462171904882243,6.818614828428776,0.000982609,0.9999998481603809
42,RASD1,-2.1716198007281826,4.986850427294152,0.00188217,0.9999896926957362
43,AKNA,-2.4838213219613148,2.6109704375053897,0.000104178,0.9975567541153656
44,DOCK2,-2.0701838469494995,9.913696415764033,0.00024306,0.9999999998780158
45,NUAK1,-2.185416128158436,0.04430772678417487,0.000215294,0.5254834777910172
46,DCLK1,-2.575975988319697,1.6268595824999517,0.000199143,0.976932269302314
47,MED24,-1.99947961449708,0.09116144184803485,0.000196714,0.5522849082479018
48,CELF1,-1.336304852782271,6.0828762985340115,0.000467337,0.9999991737274166
49,SEC63,-2.913832754708523,5.3579105835553955,5.09373e-05,0.9999956138092817
50,LRRC49,-2.3787992885659373,6.079633486379113,8.555e-05,0.9999991675346762
51,DNM1,-2.042542957297419,7.943631905717607,0.000253134,0.999999988614081
52,CD2AP,-3.2186024244350477,7.191908729552199,8.74043e-05,0.9999999357177244
53,IFIT3,-2.1674827024814443,3.171336472902676,0.000168603,0.9993264483431653
54,AP2B1,-2.810035071541826,0.36472989177299875,4.05458e-05,0.698427644048514
55,SUCO,-2.17775934526668,8.7148632145891,0.000228491,0.9999999980718679
56,TGFA,-2.861476555255569,7.435769239653113,0.000109649,0.9999999633367682
57,THEM5,-1.8629881725896407,0.8470118550915265,0.00164084,0.8754811892721898
58,APOE,-2.152601255360955,9.928916139458682,0.000889833,0.9999999998822167
59,SCD,-2.169566314933775,1.209007862223232,0.000797461,0.9417964862817545
60,THBS4,-2.649899383861756,4.41002603016464,8.23215e-05,0.9999610993305587
61,CAP1,-2.385352947655028,2.904638134304427,7.68528e-05,0.9987559974633277
62,BICC1,-2.385354553152826,2.874972642651708,0.000947011,0.998668170697977
63,HLA-DQB1,-2.3367298014557853,7.453498946517732,0.000104066,0.9999999648033736
64,SYT17,-2.1954355950488056,8.15058092911096,0.000128267,0.9999999929300056
65,NLK,-1.7133715558653908,6.393526235554067,0.00253376,0.9999995959142002
66,KCNIP2,-1.9612330428481448,0.12182681434699671,0.000711974,0.569672872387167
