,Gene,Y1a,Y1b,Y3a,Y3b
12726,ENSG00000211456,0.005002230569294717,0.006564174464560174,8.679142777519801e-05,0.00032068483549606
12727,ENSG00000211459,0.005001031316609231,0.006562726851421124,4.588643695540762e-16,4.603238058966497e-15
12728,ENSG00000211460,0.00404007672488345,0.007652634020134984,1.1653099974419442e-08,1.4473147119017204e-07
12729,ENSG00000211574,0.005124855143213493,0.005505394357832731,0.002095673305551016,0.020685895584464598
12730,ENSG00000211584,5.220714541744593e-08,8.925098513040273e-06,2.070259818715666e-09,1.1596637625787561e-09
12731,ENSG00000212127,0.002320836414124849,0.004745036235656684,1.398453125514794e-12,8.897286712007217e-11
12732,ENSG00000212694,0.004995039342857006,0.006555493541411643,2.9868509608260064e-10,9.01424257392014e-09
12733,ENSG00000212719,1.7743804608524818e-12,9.933200950782975e-08,0.00010193925200842333,0.0004955113717763727
12734,ENSG00000212747,0.004992644553944351,0.006552602435448916,7.413874858113056e-11,2.4293053824053964e-09
12735,ENSG00000212864,0.0007633117714400668,0.0015284611016229336,0.01626897144382097,0.02309424211127475
12736,ENSG00000212907,2.998898950518179e-09,6.292856611193357e-07,7.636965256823625e-12,1.9752381224421164e-11
12737,ENSG00000212916,1.860723469840522e-07,1.0107777498306174e-06,7.531297510086434e-13,5.6555873597945896e-11
12738,ENSG00000212978,0.004987858402730452,0.0065468240228668245,7.605955564299518e-11,1.5805254922103212e-09
12739,ENSG00000213015,1.8535559345118999e-06,1.4890904048731628e-05,9.984665347695011e-09,1.2811931993232255e-07
12740,ENSG00000213020,2.106213885964264e-15,1.0867506799883074e-07,1.14799593409463e-13,1.894277219811347e-13
12741,ENSG00000213023,8.388624284894045e-07,9.083032151941156e-06,9.550583092311202e-06,3.031081811158807e-05
12742,ENSG00000213024,9.503224391544036e-13,1.3269488030093413e-07,3.4070716376253717e-10,4.370092714775699e-09
12743,ENSG00000213047,0.004981882133048871,0.006539608125263864,3.266744914633194e-14,1.3719072667320686e-13
12744,ENSG00000213064,0.00555671793394346,0.010013770802156988,0.00013685941073040498,0.00040421973832492647
12745,ENSG00000213066,0.02788486742027875,0.040760089481058207,3.035090893463383e-06,1.5703457727819703e-05
12746,ENSG00000213079,0.9870516667570134,0.8189981272089784,5.364516468557524e-13,4.209362492003735e-11
12747,ENSG00000213088,0.01602711651530371,0.023387683009012238,6.569419835916997e-12,3.744861125805064e-10
12748,ENSG00000213096,0.004975912988106373,0.006532400128713348,4.083601311987604e-08,3.149630886198794e-07
12749,ENSG00000213123,0.00048751537360821614,0.0007962658743890168,7.860137863806019e-14,7.274162680998155e-12
12750,ENSG00000213139,0.0007379240027570894,0.0014149724725548076,3.025734856362238e-10,6.2458342223571255e-09
12751,ENSG00000213160,1.7667005817296267e-12,9.89358461015352e-08,5.443395217439303e-11,2.3857667810242525e-09
12752,ENSG00000213186,0.004971142796313913,0.0065266394144941915,0.9997025352546325,0.9984835102364695
12753,ENSG00000213190,0.007419651411018205,0.005375875552975673,2.4564644557793742e-09,1.692839859692312e-08
12754,ENSG00000213199,0.002308038401054441,0.0047209824173794,6.037985445646491e-09,9.735415902316953e-08
12755,ENSG00000213203,0.01599674265065933,0.023347149710559355,0.0005621972932810068,0.003578278928861937
12756,ENSG00000213246,0.004966377154672565,0.00652088374711904,1.8081076975980738e-06,7.766744723875763e-06
12757,ENSG00000213281,0.0049651864547197565,0.006519445618333301,2.1109603969665152e-14,2.9334994392913796e-12
12758,ENSG00000213337,0.006515296964077015,0.007588308951774615,2.7088744397197145e-05,7.86181734244995e-05
12759,ENSG00000213339,0.0023052655547829686,0.004715769406353466,9.592400450228618e-07,9.445180132361808e-06
12760,ENSG00000213341,0.06348990124032412,0.07830950887077653,7.720887080604484e-08,6.001458071898189e-07
12761,ENSG00000213347,0.023125294418640002,0.03759991370041802,3.3100429964006044e-06,1.252575877027221e-05
12762,ENSG00000213366,0.9740114822708468,0.9396708096064353,0.0006647384276507471,0.002089938809260802
12763,ENSG00000213380,0.009293578488994312,0.013707818338675327,5.549466135562914e-06,2.97591598347893e-05
12764,ENSG00000213390,1.1091189945515176e-07,2.1368599277099322e-05,0.8996881384175958,0.9060612210751026
12765,ENSG00000213398,4.26672144075011e-05,0.0001344014662066078,3.1402176145969932e-06,2.4063789857550902e-05
12766,ENSG00000213424,0.0024354723599161973,0.003330161826288681,9.932837803620678e-11,3.4257595330405267e-09
12767,ENSG00000213445,8.028562495756548e-12,8.386893760726506e-07,0.0002953763955334811,0.00014938655429269464
12768,ENSG00000213462,4.631917468427052e-11,2.4828991558865834e-06,7.035038979565537e-09,6.825254508473741e-08
12769,ENSG00000213463,1.8695271623188488e-13,5.0490871555544486e-08,2.1644489734140632e-05,9.24353074002256e-05
12770,ENSG00000213465,2.97442863814939e-09,6.245534017227388e-07,4.0143361224814715e-06,2.1496458037885336e-05
12771,ENSG00000213516,0.9973980830875763,0.9922620252072043,0.0029639854040466565,0.0065098805297730674
12772,ENSG00000213523,0.004947360003747546,0.006497911458860564,1.0337984873763723e-12,5.960084107590717e-11
12773,ENSG00000213551,0.004946173840534743,0.00649647836329988,0.00036594033636813006,0.0009548639312389651
12774,ENSG00000213563,0.0008680702979798426,0.002133941883431897,9.696491073094113e-05,0.0002188453578777789
12775,ENSG00000213585,1.1605800118103054e-05,0.00013649513729210253,3.840090512126856e-06,4.638299523855349e-05
12776,ENSG00000213593,1.9612765167255115e-09,3.5070008849556376e-07,8.615476817808047e-07,5.081848677871201e-06
12777,ENSG00000213614,0.004187759490533,0.009014188040095785,3.637588188830285e-11,4.900932409599914e-10
12778,ENSG00000213619,0.0024284568795644302,0.003321330955728256,1.2493443907083286e-05,4.6365042256185504e-05
12779,ENSG00000213625,0.000755267201852699,0.0015136253392306553,1.7774077440679231e-07,2.474582773814886e-06
12780,ENSG00000213626,0.006481070736567208,0.00755161490652109,8.712358161593471e-05,0.00033362500903150053
12781,ENSG00000213639,0.004936694716406774,0.006485024897070183,2.0434928984777615e-08,6.971118746544776e-09
12782,ENSG00000213640,0.004935511097585935,0.006483594625055885,4.5492434293100146e-11,1.5487377657850854e-09
12783,ENSG00000213654,0.9999998788609208,0.9999890227202984,0.004211823470379328,0.06984879388625645
12784,ENSG00000213672,1.448415414455123e-07,1.3931202231477298e-06,0.10789814513636282,0.17956272903040044
