,Mean,Min,Names
0,-0.08663474827903134,0.6622,PLEKHN1
1,-0.07455983909478629,0.7942,PERM1
2,-0.0456263307327244,0.855,AGRN
3,-0.031179285236779566,0.9084,ACAP3
4,-0.0020459959305970396,0.9953,INTS11
5,-0.0734517753643812,0.8444,TAS1R3
6,-0.07174375934049973,0.6964,CFAP74
7,-0.07859744890783492,0.7988,NPHP4
8,-0.030444315779156465,0.9323,CHD5
9,-0.1336426598451537,0.7233,PLEKHG5
10,-0.004233220950026049,0.9903,CASZ1
11,-0.07806109491702073,0.7625,C1orf127
12,-0.14006081449073632,0.5696,AL953897.1
13,-0.1530615843516598,0.4966,C1orf167
14,-0.04744888898114293,0.8341,MTHFR
15,-0.04832334662421499,0.893,CLCN6
16,-0.13309538889052025,0.6516,PRDM2
17,-0.08918921992437702,0.7114,FHAD1
18,-0.5735951945893959,0.1578,CLCNKA
19,-0.27564219577357346,0.5301,HSPB7
20,-0.1752939257690027,0.6238,CLCNKB
21,-0.16748648517349768,0.6522,CROCC
22,-0.2016947179780235,0.6285,ATP13A2
23,-0.2016947179780235,0.6285,AL049569.1
24,-0.13956725791724817,0.6605,PADI4
25,-0.12201297897928273,0.553,KLHDC7A
26,-0.004015276193715776,0.9884,TAS1R2
27,-0.019224226037378372,0.9567,TMCO4
28,-0.06489597884855043,0.8612,KIF17
29,-0.32303214153167564,0.0811,HSPG2
30,-0.13176713157753506,0.7383,AL591178.2
31,-0.1128755540592733,0.5565,MYOM3
32,-0.009306039320248418,0.9788,AL591178.1
33,-0.03007251637744869,0.8919,CATSPER4
34,-0.14485120903548449,0.6907,EPHA10
35,-0.11062797983202657,0.5777,MACF1
36,-0.25057571979236787,0.4694,EBNA1BP2
37,-0.23783578040748643,0.4787,CFAP57
38,-0.06214430489704112,0.8471,MAST2
39,-0.060131455540490264,0.8707,AL445183.1
40,-0.060131455540490264,0.8707,PODN
41,-0.013221539376612119,0.945,ACOT11
42,-0.046595298792119134,0.8545,MROH7
43,-0.012914970375878018,0.9707,PCSK9
44,-0.002875844340795484,0.9934,AL162739.1
45,-0.002875844340795484,0.9934,L1TD1
46,-0.13713447084289657,0.5658,KANK4
47,-0.05948351506743278,0.872,CCDC18
48,-0.09637785279675815,0.6007,ABCA4
49,-0.00806545028105216,0.9816,COL11A1
50,-0.14898756442861733,0.6094,AKNAD1
51,-0.012467797270160636,0.9717,KIAA1324
52,-0.06983009484514931,0.7142,CELSR2
53,-0.09162393146228469,0.7398,CHIA
54,-0.1592667653881933,0.693,SPAG17
55,-0.02983915696268625,0.9336,ADAMTSL4
56,-0.02983915696268625,0.9336,AL356356.1
57,-0.5778493166266967,0.03813,HRNR
58,-1.0147541779452356,0.02756,FLG
59,-0.8628346885067266,0.03117,FLG-AS1
60,-0.06055003878978161,0.7689,PEAR1
61,-0.10952309103982923,0.7771,FCRL5
62,-0.17999805920815645,0.4594,SPTA1
63,-0.02668737954709824,0.9404,OR6N1
64,-0.45247142354021785,0.3528,PRRC2C
65,-0.07740723066744519,0.7442,SEC16B
66,-0.02006244743881056,0.9415,LAMC1
67,-0.033295223342125445,0.9262,APOBEC4
68,-0.26114032410638016,0.3199,IGFN1
69,-0.11821604440661532,0.7617,LGR6
70,-0.005023326350308876,0.9885,AL512306.3
