,IC_h,IC_l,ILB,Labels,Mod1,Mod2,Mod3
0,0.987109905,0.983717775,0.940298507,1,0.883310719,0.883310719,0.894843962
1,0.958616011,0.945725916,0.729308005,2,0.731343284,0.729986431,0.734735414
2,0.985753053,0.957937585,0.988466757,3,0.984396201,0.959294437,0.990502035
3,0.975576662,0.94504749,0.981682497,4,0.976933514,0.96743555,0.985074627
4,0.97761194,0.95183175,0.983717775,5,0.983717775,0.978290366,0.983039349
5,0.97761194,0.937584803,0.985074627,6,0.972862958,0.966078697,0.984396201
6,0.987788331,0.934871099,0.991180461,7,0.985753053,0.981004071,0.985753053
,0.97858112,0.950959488,0.942818376,,0.931188215,0.92362861,0.936906377
