,Gene,Y0a,Y0b,Y1a,Y1b,Y3a,Y3b
0,ENSG00000000003,0.0009758190394128545,0.01172085645319619,1.6111695881701688e-13,1.9889137178186237e-11,5.651934621525643e-09,1.4227035327451983e-07
1,ENSG00000000419,0.11496394376817719,0.113675716463257,1.8360846546551227e-12,3.1889737587908087e-10,2.825535563478722e-10,4.028738638396289e-10
2,ENSG00000000457,0.11494667980318046,0.11366470650759034,5.449818419992187e-13,1.6239131263063545e-09,3.2626710787107267e-06,1.6959430969731312e-05
3,ENSG00000000938,5.575576845255272e-09,4.147982061360965e-05,2.7960788158308002e-14,1.4133451730986163e-10,0.0006266964457296057,0.010378517205099044
4,ENSG00000000971,2.297683791614165e-06,0.0004760455127078298,1.8190873244325422e-14,5.35387509828821e-11,0.0001401684657261662,0.0016487769393140176
5,ENSG00000001036,0.9995160484034099,0.9979925956380474,2.913152910731979e-07,1.9213210686680284e-05,0.022948371497062258,0.03127984979260201
6,ENSG00000001084,0.11487764649971145,0.11362067598059754,1.4580153162849333e-07,1.4304399359753883e-06,0.4801369877808966,0.6641347442347283
7,ENSG00000001167,9.088983303665243e-09,5.6303132947453196e-05,2.2337138004293063e-15,3.287206196018741e-11,4.734710779166214e-09,1.5027905660656507e-07
8,ENSG00000001460,0.0492336943894482,0.0478494130852559,6.421898982558879e-06,2.3714905457163034e-05,0.7097278471875861,0.5391277747523529
9,ENSG00000001461,0.15303083269149173,0.07526271102681652,2.7199294452269313e-15,1.2102923957171886e-10,3.3934662464618315e-06,1.1911306257729927e-06
10,ENSG00000001497,0.039381910035789607,0.027055225006366715,4.826718699922685e-13,1.6217919642045162e-11,9.242772070418375e-08,2.9522970700216093e-06
11,ENSG00000001561,0.10489832468532553,0.0694921958429537,0.44931916569628433,0.5815045864460883,0.00014909531014010204,0.0008362364557982376
12,ENSG00000001617,0.5410432375308032,0.2476496666278275,4.903513733424487e-09,2.3215919425364642e-06,0.8167206936466183,0.8757851065253713
13,ENSG00000001626,0.16652412781004233,0.12246711434452813,4.977712812763906e-18,2.3340975865525684e-15,0.5882205285192994,0.5909682256909023
14,ENSG00000001629,0.00040048064405971364,0.023111702986237697,0.9938738713187567,0.9879924080273755,0.3404444810733501,0.3026671988903159
15,ENSG00000001631,0.12983479221489494,0.1366989714958048,2.0004027153959616e-21,1.6776695626295183e-16,0.8486639998355718,0.707828182973511
16,ENSG00000002016,0.11470522106886491,0.11351066471462737,2.991516820907274e-08,3.3071310788906127e-06,8.757364038072265e-05,7.944827219764508e-05
17,ENSG00000002330,0.11468799092120939,0.11349966869778995,4.093275389226147e-11,1.735429974539958e-08,3.5395925459567345e-07,5.1797956141860494e-06
