,Gene,Y0a,Y0b,Y1a,Y1b,Y2a,Y2b,Y3a,Y3b
13970,ENSG00000266094,0.005695553554168567,0.005695553554168567,5.506016415064396e-10,5.506016415064396e-10,0.00020259349793544653,0.00020259349793544653,5.2598857832590776e-05,5.2598857832590776e-05
13971,ENSG00000266173,0.0007412585589890196,0.0007412585589890196,1.8393866844875145e-05,1.8393866844875145e-05,1.1836285984023078e-06,1.1836285984023078e-06,1.8292183991066542e-07,1.8292183991066542e-07
13972,ENSG00000266338,0.003709329037359496,0.003709329037359496,3.274861912661468e-09,3.274861912661468e-09,0.003922608323936313,0.003922608323936313,5.946696950960882e-16,5.946696950960882e-16
13973,ENSG00000266412,1.804274448226815e-09,1.804274448226815e-09,8.293873963818545e-16,8.293873963818545e-16,0.0022484198051302222,0.0022484198051302222,7.41764581730284e-05,7.41764581730284e-05
13974,ENSG00000266469,0.0037075485159665275,0.0037075485159665275,4.992330794957121e-16,4.992330794957121e-16,1.5312658995946653e-09,1.5312658995946653e-09,6.934372559659666e-13,6.934372559659666e-13
13975,ENSG00000266472,6.469458933993722e-14,6.469458933993722e-14,2.6282069265685736e-14,2.6282069265685736e-14,3.8161256741333824e-07,3.8161256741333824e-07,1.1298880550464395e-07,1.1298880550464395e-07
13976,ENSG00000266490,0.003705768846065677,0.003705768846065677,6.151543632374493e-15,6.151543632374493e-15,6.038693826380601e-09,6.038693826380601e-09,3.52560626358378e-08,3.52560626358378e-08
13977,ENSG00000266524,0.0037997434837144027,0.0037997434837144027,3.8937153711663865e-06,3.8937153711663865e-06,0.00011659642051861925,0.00011659642051861925,1.5335304552618093e-12,1.5335304552618093e-12
13978,ENSG00000266714,2.2068352938541985e-07,2.2068352938541985e-07,1.1066489292079382e-12,1.1066489292079382e-12,0.003550540897545757,0.003550540897545757,8.554813700339418e-09,8.554813700339418e-09
13979,ENSG00000266777,0.06116475101944229,0.06116475101944229,8.088221157120692e-16,8.088221157120692e-16,2.3299035445077726e-06,2.3299035445077726e-06,3.242919167800826e-14,3.242919167800826e-14
13980,ENSG00000266865,0.003702212059123916,0.003702212059123916,1.496302541534091e-06,1.496302541534091e-06,0.01198389840673447,0.01198389840673447,2.9018700558321665e-08,2.9018700558321665e-08
13981,ENSG00000266904,0.0037013233939397847,0.0037013233939397847,1.341043302652986e-06,1.341043302652986e-06,1.197752178855742e-07,1.197752178855742e-07,4.885160028008239e-11,4.885160028008239e-11
13982,ENSG00000267002,0.003700434941275259,0.003700434941275259,2.2664934315484676e-06,2.2664934315484676e-06,0.0095077157719397,0.0095077157719397,2.3728314068489963e-09,2.3728314068489963e-09
13983,ENSG00000267023,0.0036995467010798823,0.0036995467010798823,5.3564295982526767e-08,5.3564295982526767e-08,0.002102997297949182,0.002102997297949182,1.9783073053738816e-05,1.9783073053738816e-05
13984,ENSG00000267034,0.0036986586733032383,0.0036986586733032383,3.871468156418858e-07,3.871468156418858e-07,5.143733218472795e-06,5.143733218472795e-06,0.0029083809650452476,0.0029083809650452476
13985,ENSG00000267041,1.2896553920958889e-06,1.2896553920958889e-06,7.338688286866374e-08,7.338688286866374e-08,3.5469381925473657e-06,3.5469381925473657e-06,4.6212135536336037e-10,4.6212135536336037e-10
13986,ENSG00000267080,0.0007200914594061945,0.0007200914594061945,3.5752999154327356e-18,3.5752999154327356e-18,3.571363960217425e-05,3.571363960217425e-05,4.7349793774709946e-08,4.7349793774709946e-08
