,Gene,Y0a,Y0b
11648,ENSG00000187556,0.017682528137624536,0.034672564249433574
11649,ENSG00000187601,3.4513701038110046e-09,5.044539878151907e-06
11650,ENSG00000187605,0.026985590846308697,0.03765227086655734
11651,ENSG00000187607,0.017673688054215247,0.03466159294724294
11652,ENSG00000187608,0.017670742324286164,0.034657936590335205
11653,ENSG00000187609,0.006208910485823724,0.004001207013405565
11654,ENSG00000187624,0.017664852310783134,0.034650624992044014
11655,ENSG00000187626,0.047255459347763366,0.04771223119950851
11656,ENSG00000187630,0.21049403134003317,0.11128902737864048
11657,ENSG00000187650,0.1410296812723263,0.0595826948954104
11658,ENSG00000187653,0.025180843895943463,0.03510151964449411
11659,ENSG00000187672,0.017637506410444637,0.012484194245503916
11660,ENSG00000187676,0.03610085596015237,0.03574887494528423
11661,ENSG00000187678,0.006351218337915404,0.017286334761787963
11662,ENSG00000187688,0.01307439489354751,0.022276767845852453
11663,ENSG00000187699,0.0017132431733008647,0.023331187565663658
11664,ENSG00000187713,3.157984781950055e-08,3.0213493925933828e-05
11665,ENSG00000187715,0.017632491682641947,0.034610437776463894
11666,ENSG00000187720,0.008271874270782437,0.016912323237938374
11667,ENSG00000187730,1.0871469770893789e-05,0.021119918952644447
11668,ENSG00000187735,0.001377347110091261,0.03131905523326095
11669,ENSG00000187741,0.010370458349627352,0.012443286226159905
11670,ENSG00000187742,0.01761780155856109,0.03459218571906571
11671,ENSG00000187764,0.026892182831255804,0.037569204673007
11672,ENSG00000187773,2.3641550274654105e-06,0.0002015129216286248
11673,ENSG00000187775,0.017608993254053656,0.03458123893960966
11674,ENSG00000187778,0.005574143200284644,0.015088798320793144
11675,ENSG00000187790,0.009116857584165389,0.010862841299454959
11676,ENSG00000187792,0.0064105228797761,0.01858614661677422
11677,ENSG00000187796,0.017597255575398783,0.03456664842919686
11678,ENSG00000187800,3.298149732499978e-07,9.584337610130374e-05
11679,ENSG00000187801,0.005574196052249598,0.0019341627687441746
11680,ENSG00000187815,0.045831600312651675,0.06956049081413519
11681,ENSG00000187824,0.0004387957531562041,0.009352007519647342
11682,ENSG00000187837,0.00016127786475475552,0.003028840900123503
11683,ENSG00000187840,0.13993005779115944,0.08420325665066918
11684,ENSG00000187860,0.008614243892967109,0.009131609661918368
