,Gene,Y1a,Y1b,Y3a,Y3b
0,ENSG00000000003,2.0176482808946976e-13,2.7707350290712218e-11,3.644157074409158e-08,3.3742593188826337e-07
1,ENSG00000000419,7.724650687081292e-12,1.3864655691742962e-10,2.5203010046770053e-09,1.0206874403137627e-09
2,ENSG00000000457,8.304919445855764e-13,2.0531099284308343e-09,8.944013078267528e-06,3.945459551845624e-05
3,ENSG00000000938,2.1016681139940153e-14,4.08272105047065e-11,0.0005601583660914675,0.003234314905466499
4,ENSG00000000971,1.42611400306514e-14,1.2412290299394067e-11,0.0002199091232844406,0.0014647077409434455
5,ENSG00000001036,2.1991974162500277e-05,4.719167409853865e-05,0.05721655416747316,0.08686934039022712
6,ENSG00000001084,2.426733331224398e-05,1.3779796351748662e-05,0.38013644923453027,0.5055896281968582
7,ENSG00000001167,9.971063889159926e-13,1.5434337169240424e-09,1.0299179792448408e-08,1.2900120157926671e-07
8,ENSG00000001460,7.2048389737001835e-06,4.165172886949152e-05,0.8319050048009384,0.8215156479744637
9,ENSG00000001461,3.171010243038583e-14,1.8562362108432707e-10,3.0478127625067546e-05,2.9417191798738004e-06
10,ENSG00000001497,8.764852001570615e-13,1.884893889494815e-11,6.94667586100716e-08,1.2920360364526895e-06
11,ENSG00000001561,0.8020409889951045,0.6382215602045916,0.0004940723993923297,0.001912052694333044
12,ENSG00000001617,3.5130891538190235e-09,6.645612925513076e-07,0.645523094790652,0.7855269515226506
13,ENSG00000001626,1.1437355113577006e-15,1.9859775144073958e-14,0.7748563244661661,0.7200556943668963
14,ENSG00000001629,0.970290323601197,0.974330111220633,0.7802990605751058,0.7767436893853978
15,ENSG00000001631,9.724924732958629e-20,2.2100770597379683e-16,0.8420735689772285,0.8162964554307663
16,ENSG00000002016,6.933914800774838e-08,2.1263041456007212e-06,4.916365044017719e-05,0.0001888484849368674
17,ENSG00000002330,1.4602403339198024e-10,2.187976836276339e-08,1.6909986997478414e-06,9.608704203594685e-06
18,ENSG00000002549,0.0019618058802316385,0.014479634791876474,0.5897160530461372,0.5373352292431637
19,ENSG00000002587,2.7136626235720026e-06,3.624431677835637e-05,0.006760698581066655,0.012393662534329926
20,ENSG00000002746,2.8332184257103407e-16,2.068111299016351e-13,0.3602761254210078,0.32508943426134396
21,ENSG00000002822,1.2159449172571312e-12,2.8298604273076503e-11,9.323618465124448e-05,0.0005193081087644954
22,ENSG00000002834,4.533931468970814e-16,2.0345962045916543e-14,6.151111259914763e-05,0.000301196927409731
23,ENSG00000002919,0.0001022618820821581,0.0010210884962745285,9.105596649439147e-08,2.389282202944068e-08
24,ENSG00000002933,0.0011169042646359435,0.013402921909822754,1.844655967314966e-06,0.00011773361657886078
25,ENSG00000003056,2.051045964869056e-12,4.447928006284753e-09,2.92862933453187e-08,3.7808041736424046e-07
26,ENSG00000003096,0.000310778998745773,0.0006265504562310537,0.0015882810631739832,0.0035116753643447047
27,ENSG00000003137,3.698145328234341e-12,9.66015832363345e-11,4.924596317648975e-05,0.0004250985527596879
28,ENSG00000003147,0.012220818641605725,0.012256437851699588,0.1100823731360686,0.22699189940989412
29,ENSG00000003249,6.116660490977235e-09,6.26822239587526e-07,0.5226618084869544,0.6401170437637217
30,ENSG00000003393,4.290307206216713e-07,9.53467178480375e-06,0.001307308429918666,0.004215005661172962
31,ENSG00000003400,0.0010701778879251072,0.04921546104862506,0.010235639050669917,0.02612612855152193
32,ENSG00000003402,1.2455019093390865e-05,0.000351153874722856,0.0003582257567675321,0.001718575375271281
33,ENSG00000003436,3.176378218433931e-10,2.505558504804715e-09,0.004129898217295367,0.01129930874463231
34,ENSG00000003509,0.9932290095282439,0.9660118590641507,0.049727596334654164,0.13382768073490928
35,ENSG00000003756,0.00013122498796921535,0.0006115673140875347,5.350006731037742e-06,3.694047043973158e-05
36,ENSG00000003987,1.6557756292673232e-17,5.042586767221493e-14,0.08148632770271477,0.14641730436067746
37,ENSG00000003989,1.212605793195159e-09,6.575891652151281e-08,0.6914067850021225,0.7486564832862237
38,ENSG00000004059,1.8796397066904775e-14,4.059244612325946e-12,0.967248360019991,0.950309038595375
39,ENSG00000004139,0.0003097383687151972,0.0006243908590513207,4.6032159798160695e-05,0.00018169928680669242
40,ENSG00000004142,3.672549636836832e-09,1.193698276091316e-06,0.00014149219184751255,0.00044483171894464695
41,ENSG00000004399,6.894865085516375e-05,0.00021541142762050537,1.5057533374445853e-11,2.1157070166813236e-11
42,ENSG00000004455,0.002938729051211758,0.005798771216194358,0.17834762715957259,0.2086647035204188
43,ENSG00000004468,1.3920301133862186e-09,1.678351504079667e-08,0.9861852384952144,0.9809319469207877
44,ENSG00000004478,8.714534583756997e-16,7.377085643531558e-11,1.3867329791895942e-07,1.7375239061663537e-06
45,ENSG00000004487,5.919556199473079e-15,1.150507376563065e-13,0.00015291171028621525,0.00045217029540084593
46,ENSG00000004534,1.180582826330788e-07,1.053044710809738e-06,2.913187972856998e-06,2.7849310968892682e-05
47,ENSG00000004660,0.0005618996579034629,0.0011118941945129402,0.069229737177524,0.10023922067317062
48,ENSG00000004700,1.956703412240552e-24,7.482674795227074e-19,0.002578468858629675,0.009753745928891867
49,ENSG00000004766,1.2196881328990705e-06,4.2704936541813404e-05,0.2971434408245498,0.4412387048626389
50,ENSG00000004777,0.0016991723596165547,0.0033620023664252333,8.469033494718387e-08,2.443312876926595e-08
51,ENSG00000004779,4.525801767257542e-15,7.984162580679352e-15,4.925374985295646e-07,5.1907142491855346e-06
52,ENSG00000004799,3.626465129944623e-20,7.522723927798959e-16,8.346188337440545e-08,6.451899740195919e-07
53,ENSG00000004848,0.8784604061560048,0.9851841554179464,0.1045296150476579,0.12367034747856624
54,ENSG00000004864,6.428303980244829e-05,0.00032913677667239605,0.0004158658488139612,0.0008952656718301104
55,ENSG00000004866,0.025215197163818065,0.044878954028421666,0.07556184928563783,0.11472386170981115
56,ENSG00000004897,0.13787003442824466,0.1523251995263915,0.9440138232548392,0.9273141772452408
57,ENSG00000004961,1.0854035672404165e-06,1.3618025937220066e-05,0.9999112619497893,0.9998075869504179
58,ENSG00000004975,1.018227986922711e-07,1.4139329673977664e-06,6.488896889182772e-06,3.67177815055819e-05
59,ENSG00000005007,1.1567844938668307e-05,0.00018233048052717482,8.087465254934664e-10,2.2526217417721908e-10
60,ENSG00000005020,0.080902491266008,0.2555337939021799,0.10264736441870133,0.1267625897215101
61,ENSG00000005022,1.513226376103468e-26,8.10668639034542e-22,0.05828415756227511,0.12983547890839328
62,ENSG00000005059,0.0011919987618913273,0.0018695382613844588,9.086442887237796e-11,4.3483723017928524e-11
63,ENSG00000005075,1.5075792521121323e-08,2.1511447492972605e-07,0.9961106702165385,0.9929941195039946
64,ENSG00000005100,0.004844397823149885,0.11330530487226616,8.249067081293349e-05,0.00023149974931968575
65,ENSG00000005108,0.00030766754728661096,0.0006200939563250606,1.0413993450204235e-07,1.3862890445828227e-06
66,ENSG00000005156,3.2401551391279163e-12,4.093995934885243e-11,3.861566866354472e-05,0.00013178753369375284
67,ENSG00000005175,2.584532723155618e-14,1.1387786659840107e-10,1.6732014175860476e-06,1.073121426019057e-05
68,ENSG00000005189,7.666970019982535e-10,2.0763811143801257e-07,3.840861537480471e-07,2.1603065196445183e-06
69,ENSG00000005194,1.6822267909140696e-05,0.0001325983602973767,0.18023933147320537,0.166004015652238
70,ENSG00000005206,1.7971050859367954e-11,1.9722280873458957e-10,0.04276245071163083,0.096455042033801
71,ENSG00000005238,7.744490668431785e-14,5.216948290440415e-11,5.679415487212849e-10,3.240051898700367e-10
72,ENSG00000005243,8.427196310140817e-05,0.0008524705437196778,0.007957658944893144,0.017432299582354635
73,ENSG00000005249,4.067873936753402e-08,4.428162970488225e-06,0.5233197968207043,0.5023260240772971
74,ENSG00000005302,0.13731878445415638,0.15170853976825027,0.13841796930220118,0.23076655078489275
75,ENSG00000005339,1.5233582271280524e-07,2.664428130302987e-06,9.641627550911103e-06,7.003098422832123e-05
76,ENSG00000005379,0.08765996013384234,0.42668007034862115,1.0660400196211795e-05,7.39202846681092e-05
