,Gene,Y1a,Y1b,Y3a,Y3b
8918,ENSG00000165609,7.634636455252859e-05,7.634636455252859e-05,3.98823495618493e-10,3.98823495618493e-10
8919,ENSG00000165617,9.824419273168902e-15,9.824419273168902e-15,4.3361004116476244e-05,4.3361004116476244e-05
8920,ENSG00000165626,7.348666540035231e-09,7.348666540035231e-09,0.0033079726847390174,0.0033079726847390174
8921,ENSG00000165629,1.301953011708678e-25,1.301953011708678e-25,2.8800156646266766e-07,2.8800156646266766e-07
8922,ENSG00000165630,8.162744625226998e-17,8.162744625226998e-17,2.4720583672635184e-12,2.4720583672635184e-12
8923,ENSG00000165632,2.827781612274299e-09,2.827781612274299e-09,0.0034156713701124163,0.0034156713701124163
8924,ENSG00000165633,0.00320517046340632,0.00320517046340632,0.0005832499658681088,0.0005832499658681088
8925,ENSG00000165637,4.700499919717351e-21,4.700499919717351e-21,6.491030488557894e-08,6.491030488557894e-08
8926,ENSG00000165643,2.5344775338385518e-14,2.5344775338385518e-14,0.3376038603842408,0.3376038603842408
8927,ENSG00000165644,3.114398700478181e-05,3.114398700478181e-05,8.696427333243378e-12,8.696427333243378e-12
8928,ENSG00000165650,1.636804674083571e-06,1.636804674083571e-06,0.0008617023030463295,0.0008617023030463295
8929,ENSG00000165655,5.948713170159752e-05,5.948713170159752e-05,2.757803480348117e-12,2.757803480348117e-12
8930,ENSG00000165660,1.0057427601416022e-14,1.0057427601416022e-14,0.8995939808150091,0.8995939808150091
8931,ENSG00000165661,5.272160674155005e-10,5.272160674155005e-10,1.1451690307485249e-10,1.1451690307485249e-10
8932,ENSG00000165669,8.491652219918905e-18,8.491652219918905e-18,0.0071963209730679266,0.0071963209730679266
8933,ENSG00000165671,5.6933472220930565e-12,5.6933472220930565e-12,3.1210196104981173e-08,3.1210196104981173e-08
8934,ENSG00000165672,4.955018516968096e-20,4.955018516968096e-20,0.00642109565270337,0.00642109565270337
8935,ENSG00000165675,0.027279235429061088,0.027279235429061088,2.1757184169771315e-07,2.1757184169771315e-07
8936,ENSG00000165678,2.1994358410441888e-18,2.1994358410441888e-18,3.6472448922951106e-05,3.6472448922951106e-05
8937,ENSG00000165684,6.323613800120343e-06,6.323613800120343e-06,0.0025894630856640637,0.0025894630856640637
8938,ENSG00000165688,2.711507459615996e-13,2.711507459615996e-13,3.7294988867908816e-08,3.7294988867908816e-08
8939,ENSG00000165689,4.528684398064716e-07,4.528684398064716e-07,3.6848497318372933e-06,3.6848497318372933e-06
8940,ENSG00000165695,5.394867074164365e-19,5.394867074164365e-19,2.1607965575287238e-13,2.1607965575287238e-13
8941,ENSG00000165698,3.546283688561915e-11,3.546283688561915e-11,7.548200536083907e-11,7.548200536083907e-11
