,Mean,Min,Names,Num
0,-0.41602255857497994,0.00048419999999999995,SAMD11,308
1,-0.4833313217084988,0.0006851,NOC2L,228
2,-0.5208414205720951,4.891e-05,KLHL17,180
3,-0.5661131085277918,4.891e-05,PLEKHN1,195
4,-0.521383402814969,4.891e-05,PERM1,172
5,-0.5568456658357143,0.00012030000000000001,HES4,165
6,-0.6309932300766289,0.0001989,ISG15,153
7,-0.7878268610971871,6.569e-05,AGRN,396
8,-0.7638548039294271,0.0003249,RNF223,115
9,-0.5038572235682578,0.00024150000000000002,C1orf159,351
10,-0.7006266687133311,0.0016690000000000001,TTLL10,313
11,-0.8112401566320492,0.0016530000000000002,TNFRSF18,157
12,-0.7080473944799219,0.0016530000000000002,TNFRSF4,169
13,-0.7398878187285082,0.0016530000000000002,SDF4,291
14,-0.7421218886508375,0.008485,B3GALT6,208
15,-0.6356493059705768,0.004413,FAM132A,178
16,-0.5729636807382252,0.0024230000000000002,UBE2J2,260
17,-0.5421677137825293,0.000650680808462,SCNN1D,235
18,-0.5365693945349753,0.000650680808462,ACAP3,234
19,-0.5070833138217632,0.01113,PUSL1,117
20,-0.5241967102459747,0.0101,CPSF3L,183
21,-0.5157756321097825,0.0101,CPTP,137
22,-0.5307807246844369,0.0101,TAS1R3,141
23,-0.5153803864963767,0.0035450000000000004,DVL1,198
24,-0.4404007128986256,0.0035450000000000004,MXRA8,237
25,-0.42650225068670233,0.009132,AURKAIP1,209
26,-0.5233562839313891,0.0036659999999999996,CCNL2,177
27,-0.5083116310674005,0.001347,MRPL20,123
28,-0.45574498398563473,0.001347,ANKRD65,127
29,-0.4752981387373085,0.001347,TMEM88B,102
30,-0.35349578718733665,0.01167,VWA1,110
31,-0.41594268857421324,0.008683,ATAD3C,221
32,-0.4651341261068942,0.00861036250479,ATAD3B,280
33,-0.4754736354539964,0.00861036250479,ATAD3A,209
34,-0.3751523227265173,0.0308,TMEM240,139
35,-0.29263218729264223,0.00534,SSU72,248
36,-0.5249018222754318,0.001151,C1orf233,89
37,-0.4903910636431109,0.05436758679,MIB2,90
38,-0.5606821500766426,0.05436758679,MMP23B,39
39,-0.48354262747051446,0.0304263371627,CDK11B,103
40,-0.5446549230859381,0.009040000000000001,SLC35E2B,153
41,-0.2989840291793378,0.06641,CDK11A,172
42,-0.29628889074828546,0.0391970167919,SLC35E2,230
43,-0.29504336749759175,0.031106558183300003,NADK,183
44,-0.26453547405114103,0.0282506202152,GNB1,412
45,-0.2181532768262505,0.055729999999999995,CALML6,92
46,-0.232113584761937,0.055729999999999995,TMEM52,93
47,-0.32748340890349353,0.009452,CFAP74,612
48,-0.6264786613795137,0.0105,GABRD,111
