,Gene,Y0a,Y0b
0,ENSG00000000003,8.07025990244596e-14,1.2094390596584838e-11
1,ENSG00000000419,3.4816386078269297e-12,1.538505865378776e-10
2,ENSG00000000457,6.066349515509774e-12,2.3109470009693337e-09
3,ENSG00000000938,1.0153278235750938e-14,1.0892589641974663e-10
4,ENSG00000000971,6.740751129318187e-15,4.155895271086059e-11
5,ENSG00000001036,9.228877792333809e-06,1.875188926770365e-05
6,ENSG00000001084,1.6383872071856854e-06,1.0390684222574552e-06
7,ENSG00000001167,6.849170923332901e-14,1.3107899426870582e-10
8,ENSG00000001460,6.596822071872559e-06,3.896821159717719e-05
9,ENSG00000001461,1.361089925538535e-15,1.5229248945703573e-10
10,ENSG00000001497,2.6387807400060578e-12,1.6371162419631736e-11
11,ENSG00000001561,0.5205059660309478,0.5890540002049778
12,ENSG00000001617,2.5746692576177696e-09,3.410031571808873e-06
13,ENSG00000001626,2.75689420396779e-16,1.95497453944165e-15
14,ENSG00000001629,0.9694367802514874,0.9866224948489718
15,ENSG00000001631,3.255141089073198e-20,5.701464844269344e-17
16,ENSG00000002016,9.455430352339127e-08,2.177889808037416e-06
17,ENSG00000002330,4.934416996679274e-11,4.867752761776331e-08
18,ENSG00000002549,0.0013800213711050782,0.03151655187221172
19,ENSG00000002587,1.0823084085119496e-05,4.910569025060097e-05
20,ENSG00000002746,1.7835081221276165e-16,1.6201624197833675e-13
21,ENSG00000002822,2.864968257835168e-12,2.3583846721006402e-11
22,ENSG00000002834,8.209968329063296e-17,3.2910575592074566e-14
23,ENSG00000002919,0.00010547597986686403,0.0009358994719100109
24,ENSG00000002933,0.0007362377528096995,0.01906044113799371
25,ENSG00000003056,8.147074449023129e-13,6.215885540451314e-09
26,ENSG00000003096,0.00023248563298407986,0.00037761038293776576
27,ENSG00000003137,1.9862821171520297e-12,9.217184339070938e-11
28,ENSG00000003147,0.09758568547689313,0.013447460083958298
29,ENSG00000003249,4.145858857516521e-09,1.6961281437403194e-06
30,ENSG00000003393,3.38179942068142e-07,8.125426061567713e-06
31,ENSG00000003400,0.0007907160746621587,0.04628482103724375
32,ENSG00000003402,5.220704072338595e-06,0.00025172390243109
33,ENSG00000003436,3.303403740477352e-10,3.014772488634206e-09
34,ENSG00000003509,0.9933025363767565,0.9617977895788856
