,Gene,Y0a,Y0b
0,ENSG00000000003,5.659296838889679e-09,1.03682691208476e-07
1,ENSG00000000419,3.429698805290083e-10,3.5026783820737085e-10
2,ENSG00000000457,3.265608436590532e-06,1.831873420910152e-05
3,ENSG00000000938,0.000625904921822224,0.010651659415430398
4,ENSG00000000971,0.00014028683664017922,0.0017064282360135783
5,ENSG00000001036,0.02292938241925663,0.03358236374048787
6,ENSG00000001084,0.479751865264292,0.6604640886507401
7,ENSG00000001167,4.746252207916514e-09,1.3360036228497489e-07
8,ENSG00000001460,0.7095315160637481,0.48594742247032546
9,ENSG00000001461,4.105288413281145e-06,1.5941703913983759e-06
10,ENSG00000001497,9.269619627743914e-08,3.3732192567430217e-06
11,ENSG00000001561,0.0001491821036448482,0.0007417490811103935
12,ENSG00000001617,0.816733173233967,0.8773059148107636
13,ENSG00000001626,0.5878372332960229,0.6078929999400443
14,ENSG00000001629,0.34054057964550516,0.29796109465036763
15,ENSG00000001631,0.8485603739791061,0.7271895018951973
16,ENSG00000002016,8.74164997717234e-05,9.146982427067036e-05
17,ENSG00000002330,3.549621123320438e-07,4.989360983824104e-06
18,ENSG00000002549,0.5022134144634602,0.5161576138542427
19,ENSG00000002587,0.004456584426856196,0.008469294677993424
20,ENSG00000002746,0.140713485178261,0.1776228169487587
21,ENSG00000002822,6.020697349164895e-05,0.0006247116214740564
22,ENSG00000002834,1.7523996444798857e-05,0.00012410092121100338
23,ENSG00000002919,1.8492029312420493e-08,8.565591353918009e-09
24,ENSG00000002933,7.505682234805271e-05,0.0010496605302415182
25,ENSG00000003056,2.995868627265369e-08,9.86738253391951e-07
26,ENSG00000003096,0.0004098952875091202,0.000867970218505532
27,ENSG00000003137,1.6105163079934355e-05,0.00025838877858144304
28,ENSG00000003147,0.08470677866538152,0.07475393349497773
29,ENSG00000003249,0.6886419862581841,0.7208486412172918
30,ENSG00000003393,0.0004490877985183084,0.0016751753396196112
31,ENSG00000003400,0.004240879354099538,0.016846410575364495
32,ENSG00000003402,0.00022143714386089135,0.0007164778906570574
33,ENSG00000003436,0.002280961400272438,0.006176600062153402
34,ENSG00000003509,0.01990096668514186,0.07394807975733414
35,ENSG00000003756,2.737220764003088e-06,7.646894561370817e-05
36,ENSG00000003987,0.05452114402499971,0.06901286255554949
37,ENSG00000003989,0.7302650775988191,0.8283884942411915
38,ENSG00000004059,0.9522096028901431,0.8953289181571741
39,ENSG00000004139,1.9284868779874166e-05,8.18838260838621e-05
40,ENSG00000004142,1.6625897463168764e-05,8.971188691344007e-05
41,ENSG00000004399,2.1986880031122217e-12,8.86043857560337e-12
42,ENSG00000004455,0.05776545310085698,0.07529321804772288
43,ENSG00000004468,0.9723906240659494,0.9646305387805655
44,ENSG00000004478,9.830096382127543e-08,4.525876464172702e-06
45,ENSG00000004487,2.235781907160092e-05,0.00012020540914946918
46,ENSG00000004534,1.5839229861570706e-06,1.3784355583380397e-05
47,ENSG00000004660,0.03920951163629699,0.07717455082363785
48,ENSG00000004700,0.002320294573356001,0.021120874057403947
49,ENSG00000004766,0.38045672012526566,0.4899545604747774
50,ENSG00000004777,2.1653855873079207e-08,7.548994005764989e-09
51,ENSG00000004779,1.2447423018051192e-06,3.1842978845340826e-05
52,ENSG00000004799,7.167640204756868e-09,8.878671364812622e-08
53,ENSG00000004848,0.06634145278393108,0.04691419098836849
54,ENSG00000004864,8.464707885034958e-05,0.0009809151623342003
55,ENSG00000004866,0.037328433954035234,0.04646816497807214
56,ENSG00000004897,0.9207514710534079,0.8861984279943282
57,ENSG00000004961,0.9999378071872952,0.999699802029434
58,ENSG00000004975,2.31410105867353e-06,1.6850432346558175e-05
59,ENSG00000005007,6.040418667390446e-11,2.0146286668483622e-11
60,ENSG00000005020,0.0464122121678153,0.05397645139105669
61,ENSG00000005022,0.041563892381460424,0.12923276708324571
62,ENSG00000005059,5.949369535779203e-12,5.125470751315802e-12
63,ENSG00000005075,0.9955577518333812,0.9860260635267666
64,ENSG00000005100,1.5147931076782902e-05,5.3443105121287885e-05
65,ENSG00000005108,1.8718159032371482e-08,7.141152307452699e-07
66,ENSG00000005156,5.93688742627389e-06,4.634398249516804e-05
67,ENSG00000005175,3.370473625642528e-07,2.7965833082016083e-06
68,ENSG00000005189,5.016496252224364e-08,4.5234435374246885e-07
69,ENSG00000005194,0.05123666271148204,0.02790372027591186
70,ENSG00000005206,0.02288005395317996,0.07183672446006545
71,ENSG00000005238,5.0334553025896214e-11,8.010533780744354e-11
