,Unnamed: 0,GeneSymb,MeanPval,OR,Pval,Y,Score (OR*MV),Score,Evidence
54,195,RASGRF2,-2.545764409,2.57353711,0.000114371,0.997337406,6.551619181,-6.55161918,0
55,234,PXK,-2.648440395,2.414003817,7.86E-05,0.996160052,6.393345225,-6.393345223,0
56,20,DSC2,-2.281912852,2.748717537,0.000551481,0.998219637,6.272333873,-6.272333874,0
57,91,PPM1F,-2.141499724,2.909440586,0.000117958,0.998769661,6.230566213,-6.230566212,0
58,159,DEF6,-2.077794282,2.992321104,0.000310045,0.998983196,6.217427679,-6.21742768,0
59,160,FZD6,-2.432059609,2.504769298,0.000162571,0.996882012,6.091748239,-6.09174824,0
60,202,PRR5L,-2.889125088,2.089988117,7.49E-05,0.991937013,6.038237103,-6.038237102,0
61,174,CECR2,-1.727078921,3.484832462,0.00882831,0.99967264,6.018580687,-6.018580688,0
62,70,SNX1,-2.265003446,2.647385676,0.000316202,0.997752823,5.996337681,-5.996337679,0
63,184,AOAH,-2.657928683,2.217471693,9.82E-05,0.993975735,5.893881618,-5.893881617,0
64,177,LACC1,-2.33121021,2.512753905,0.000347259,0.996938639,5.85775756,-5.857757559,0
65,251,FAM84B,-2.362060738,2.472930424,0.000638061,0.996645635,5.841211864,-5.841211862,0
66,143,ACE,-2.415983543,2.405461659,0.00020131,0.996084075,5.811555781,-5.811555781,1
67,21,PLEKHH2,-2.820790414,2.022663456,6.96E-05,0.990597705,5.705509687,-5.705509687,0
68,204,EYA3,-1.876815756,3.018033005,0.00346203,0.999041592,5.664291895,-5.664291896,0
69,156,FNIP1,-2.427129783,2.32479024,3.80E-05,0.995288505,5.642567632,-5.642567631,0
70,47,SLC15A2,-2.255982743,2.498282306,4.06E-05,0.996835238,5.63608177,-5.636081769,0
71,256,MTSS1,-2.68847746,2.08575367,0.000112227,0.991858656,5.607501729,-5.607501729,0
72,42,NFASC,-2.968244263,1.881777052,9.70E-05,0.987041393,5.58557394,-5.585573939,0
73,43,CSNK1G2,-2.115917822,2.632479696,0.00106824,0.997674538,5.570110706,-5.570110705,0
74,104,NLN,-2.5756303,2.147944378,0.000102552,0.992937192,5.532310625,-5.532310623,0
75,105,RAB8B,-2.224668533,2.47373962,0.000142429,0.996651858,5.503250693,-5.503250691,0
76,217,PTP4A3,-2.585163379,2.107581816,0.000244832,0.992254645,5.448443329,-5.448443329,0
77,49,ZNF281,-2.269157483,2.400098091,0.000611341,0.996035606,5.446200543,-5.446200543,0
78,30,CXCL16,-2.268109526,2.385738766,0.000465074,0.995902884,5.411116822,-5.411116822,0
79,0,TAP1,-1.824565477,2.960200624,0.000382682,0.998905228,5.401079862,-5.401079864,0
80,244,ICK,-2.080393974,2.58372576,0.000530974,0.997398983,5.3751675,-5.375167502,0
81,194,SLC17A9,-1.965426871,2.73434505,0.00104693,0.998159842,5.374155235,-5.374155236,0
82,1,TLCD2,-2.453689142,2.183663215,0.000390054,0.993491202,5.358030721,-5.35803072,0
83,262,NPM1,-2.557860734,2.090422511,0.000342451,0.991945009,5.347009658,-5.347009658,0
84,35,HHAT,-2.749169618,1.931861845,0.000233818,0.988436563,5.311015889,-5.31101589,0
85,132,RHBDF2,-1.993060149,2.658780287,0.000545442,0.997810888,5.299109034,-5.299109035,0
86,116,SHB,-2.963216117,1.765041185,8.29E-05,0.983112627,5.230198486,-5.230198487,0
87,73,C3orf58,-2.260392165,2.29409648,0.000211044,0.994945215,5.185557709,-5.185557709,0
88,152,P2RY12,-1.969879432,2.630732459,0.000136572,0.997665186,5.182225761,-5.182225762,0
89,161,PSEN2,-2.243842172,2.288089747,0.000266522,0.994875177,5.134112268,-5.134112268,1
90,71,PDXK,-2.337069533,2.181055794,0.000212467,0.993452263,5.097279046,-5.097279046,0
91,37,CTSO,-2.240416356,2.270564809,0.000114014,0.994665274,5.087010536,-5.087010535,0
92,113,ASIC2,-2.44376721,2.0599877,0.000165261,0.991365324,5.034130394,-5.034130394,0
93,248,VASN,-2.407927663,2.059848409,0.000283632,0.991362579,4.959965964,-4.959965966,0
94,36,LARP6,-2.383756042,2.071660443,0.000247856,0.991592386,4.938333098,-4.938333098,0
95,102,TYMS,-2.085471919,2.358103185,0.000502255,0.995634873,4.917757975,-4.917757974,0
96,55,APP,-2.338446794,2.101838409,0.000821557,0.992152344,4.915037289,-4.915037289,1
97,237,KLF2,-2.197510672,2.217386982,0.000696859,0.993974567,4.872731557,-4.872731557,0
98,83,ATL1,-1.932542059,2.519014851,0.000274001,0.996982324,4.868102148,-4.868102147,0
99,52,SCARF1,-2.260234459,2.147415599,0.000675539,0.992928648,4.853662736,-4.853662735,0
100,13,LTBR,-2.232898182,2.168300734,0.000902476,0.993258423,4.841594767,-4.841594767,0
101,265,EIF4E2,-2.283189364,2.11603294,8.87E-05,0.992402774,4.831303904,-4.831303902,0
102,178,DBNDD2,-2.002121367,2.393493049,0.00133997,0.995975097,4.792063576,-4.792063575,0
103,271,MAP3K11,-1.946604665,2.459782518,0.00161162,0.996542888,4.788224124,-4.788224124,0
104,72,SNX6,-2.440237804,1.961397103,5.48E-05,0.989188598,4.78627536,-4.786275359,0
105,25,IRF2BP1,-2.135231374,2.197379787,0.0012607,0.993692284,4.69191426,-4.691914262,0
106,3,SSFA2,-2.707651576,1.719484087,0.000145452,0.981279872,4.655763797,-4.655763798,0
107,222,ERF,-2.280885677,2.032442313,0.000125615,0.990805123,4.635768561,-4.635768561,0
108,247,ITGB2,-1.96968721,2.288872523,0.000411998,0.994884359,4.508362934,-4.508362934,0
109,208,ASAP1,-2.477512141,1.814446525,6.40E-05,0.984901073,4.495313293,-4.495313295,0
110,135,SKIDA1,-2.293292145,1.943020677,0.00128424,0.988726584,4.455914055,-4.455914056,0
111,125,UBE2O,-2.009555374,2.214961344,0.000376038,0.993941023,4.451087472,-4.451087472,0
112,136,YEATS2,-2.354838512,1.889834805,0.000108552,0.987276575,4.45025578,-4.45025578,0
113,134,HECW2,-2.399815966,1.851850102,0.000356665,0.98612976,4.444099441,-4.444099441,0
114,124,AMPH,-2.462368301,1.795776484,0.000143266,0.984248273,4.421863091,-4.42186309,0
115,127,HMOX1,-2.415361328,1.797682994,0.000130525,0.984316188,4.342053984,-4.342053984,0
116,255,DMKN,-2.045985203,2.121661223,0.000524123,0.992499862,4.340887467,-4.340887468,0
117,85,RGS19,-2.163209292,2.006608839,0.00123759,0.990247078,4.340714887,-4.340714886,0
118,31,SLC12A9,-1.849637305,2.326462934,0.000813583,0.995306531,4.30311263,-4.303112631,0
119,144,ASPH,-2.625987505,1.625491608,7.46E-05,0.976861178,4.268520651,-4.268520652,0
