,IC_h,IC_l,ILB,Labels,Mod1,Mod2,Mod3
0,0.979647218,0.979647218,0.921981004,1,0.881953867,0.882632293,0.89348711
1,0.954545455,0.954545455,0.730664858,2,0.73541384,0.729308005,0.734056988
2,0.987788331,0.987788331,0.992537313,3,0.985753053,0.968792402,0.991180461
3,0.973541384,0.973541384,0.981004071,4,0.971506106,0.97082768,0.983717775
4,0.97421981,0.97421981,0.985074627,5,0.983039349,0.97421981,0.985074627
5,0.962686567,0.962686567,0.984396201,6,0.974898236,0.94843962,0.983039349
6,0.987109905,0.987109905,0.987788331,7,0.987109905,0.968792402,0.986431479
Mean,0.97421981,0.97421981,0.940492343,,0.931382051,0.920430316,0.936712541
