,Mean,Min,Names
140,-0.040958607678906384,0.91,CFAP61
141,-0.037251946641359494,0.9178,PCK1
142,-0.22944302397432556,0.3309,LAMA5
143,-0.09640708569937254,0.7416,COL9A3
144,-0.19454986314527353,0.4865,HELZ2
145,-0.10142340509997744,0.7481,RTEL1
146,-0.04585401117045194,0.8998,UMODL1
147,-0.06359547551028057,0.7743,COL18A1
148,-0.10014044475435266,0.7603,COL6A2
149,-0.16918638680703507,0.4967,PCNT
150,-0.007137328610972325,0.9837,CCDC116
151,-0.026293934507606666,0.9095,APOL4
152,-0.35666583344528513,0.4357,CRELD2
153,-0.10111034407341352,0.7923,TUBGCP6
154,-0.12604034525664687,0.7481,HDAC10
155,-0.010327752376126795,0.9765,IL17RC
156,-0.05505443485910767,0.8255,TTC21A
157,-0.182566507165374,0.4858,STAB1
158,-0.05700040663395948,0.877,BOC
159,-0.038578905933551705,0.915,KALRN
160,-0.049732531986411525,0.8918,ITGB5
161,-0.057063604200823556,0.8397,PLXND1
162,-0.08134070657817674,0.8292,ATR
163,-0.2858068883478885,0.3675,IDUA
164,-0.3076757940413738,0.4444,TACC3
165,-0.09405401731799015,0.7458,WFS1
166,-0.016328617139803443,0.9631,MTTP
167,-0.019536792956319885,0.9298,ANK2
168,-0.015742798294583926,0.9644,DCHS2
169,-0.12256778823241532,0.6287,FAT1
170,-0.10348729087777034,0.4762,MTRR
171,-0.13749867230367355,0.4253,ADGRV1
172,-0.7710865940053119,0.1694,ERAP2
173,-0.1474469661501016,0.6937,AC244517.2
174,-0.08362623486027872,0.7596,AC244517.6
175,-0.04783742578553739,0.8957,PCDHB9
176,-0.11622503864474176,0.7652,FCHSD1
177,-0.05913502403327836,0.8727,SPINK5
178,-0.06770274049954435,0.6799,GRM6
179,-0.14826931057843268,0.5573,BTN3A2
180,-0.03095703269418672,0.9312,POM121L2
181,-0.0291883891274822,0.935,OR12D2
182,-0.017547848615010273,0.9604,OR10C1
183,-0.1511053775832254,0.6761,GABBR1
184,-0.05332414948414306,0.8756,HCG4P5
185,-0.10398114879223264,0.6245,HLA-A
186,-0.02067248375105678,0.9268,TRIM31
187,-0.18715346303292868,0.6499,MDC1-AS1
188,-0.284084029435977,0.2358,MDC1
189,-0.11293166955733758,0.6788,C6orf15
190,-0.07164910544299581,0.6349,PSORS1C1
191,-0.23159864769638844,0.1414,CCHCR1
192,-0.2588950266301063,0.1978,HLA-B
193,-0.3445937136676287,0.1003,HLA-C
194,-0.07677154215263965,0.6269,MICA
195,-0.05739923676091223,0.661,PRRC2A
196,-0.026604566096191915,0.8997,CFB
197,-0.05112230872900763,0.8201,SKIV2L
198,-0.062361454496938785,0.8204,TAP2
199,-0.31641252924174157,0.2741,HLA-DPA1
200,-0.18835080454664072,0.3336,HLA-DPB1
201,-0.1078175853611313,0.6319,MOCS1
202,-0.12355121312165876,0.7524,DST
203,-0.00261361560268669,0.994,DSE
204,-0.14245511343820796,0.5344,SYNE1
205,-0.01488802046064615,0.9663,USP42
206,-0.10243604308113863,0.601,DNAH11
207,-0.12031276324242106,0.6417,ABCA13
208,-0.1299817829371985,0.674,SSPO
209,-0.022825323979812625,0.9488,MYOM2
210,-0.08486409337798809,0.8225,TRMT9B
211,-0.17531535897744793,0.4873,MTUS1
212,-0.011441043121384482,0.974,CCAR2
213,-0.1376028448418479,0.5753,PTK2B
214,-0.12796033202671378,0.7448,MATN2
215,-0.17431429197824166,0.6694,TRAPPC9
216,-0.00261361560268669,0.994,JRK
217,-0.4008144359456043,0.306,PLEC
218,-0.003181978120484515,0.9927,DOCK8
219,-0.04726991628534043,0.7379,PRUNE2
220,-0.016621837809144058,0.9622,PCA3
221,-0.030584087646018613,0.932,ZNF462
222,-0.0379149194826401,0.9164,RGS3
223,-0.0022642234021016117,0.9948,COL27A1
224,-0.06744574345818828,0.7469,USP20
225,-0.075806936634865,0.7689,ABO
226,-0.12533916867822514,0.536,ABCA2
