,IC_h,IC_l,ILB,Labels,Mod1,Mod2,Mod3
0,0.986431479,0.986431479,0.943690638,1,0.878561737,0.885345997,0.896200814
1,0.965400271,0.965400271,0.731343284,2,0.729986431,0.729308005,0.73202171
2,0.983039349,0.983039349,0.991180461,3,0.984396201,0.965400271,0.989145183
3,0.972862958,0.972862958,0.979647218,4,0.978290366,0.966757123,0.981682497
4,0.981682497,0.981682497,0.985074627,5,0.983717775,0.978290366,0.983039349
5,0.969470828,0.969470828,0.984396201,6,0.971506106,0.964043419,0.981682497
6,0.989145183,0.989145183,0.990502035,7,0.985753053,0.978290366,0.987109905
Mean,0.978290366,0.978290366,0.943690638,,0.930315953,0.923919364,0.935840279
