,Gene,Y0a,Y0b
0,ENSG00000000003,0.6641404841142945,0.5091872108018084
1,ENSG00000000419,0.6641173699575935,0.5091858181904091
2,ENSG00000000457,0.009428274164387646,0.49290781232048264
3,ENSG00000000938,0.6640711392857298,0.5091830329671829
4,ENSG00000000971,0.6640480227707352,0.509181640355356
5,ENSG00000001036,0.6640249054698106,0.5091802477433865
6,ENSG00000001084,0.6640017873830404,0.5091788551312747
7,ENSG00000001167,0.6639786685105082,0.5091774625190204
8,ENSG00000001460,0.6639555488522983,0.5091760699066236
9,ENSG00000001461,0.6639324284084949,0.5091746772940844
10,ENSG00000001497,0.6639093071791818,0.5091732846814029
11,ENSG00000001561,0.6638861851644434,0.5091718920685788
12,ENSG00000001617,0.6638630623643637,0.5091704994556125
13,ENSG00000001626,0.6638399387790267,0.5091691068425039
14,ENSG00000001629,0.00941666803167566,0.49289109871190107
15,ENSG00000001631,0.6637936892529178,0.5091663216158597
16,ENSG00000002016,0.6637705633123143,0.5091649290023242
17,ENSG00000002330,0.6637474365867904,0.5091635363886465
18,ENSG00000002549,0.66372430907643,0.5091621437748266
19,ENSG00000002587,0.6637011807813177,0.5091607511608645
20,ENSG00000002746,0.6636780517015375,0.5091593585467602
21,ENSG00000002822,0.6636549218371737,0.5091579659325136
22,ENSG00000002834,0.008403426542734153,0.4883902934768797
23,ENSG00000002919,0.6636086597550324,0.5091551807035943
24,ENSG00000002933,0.6635855275374234,0.5091537880889215
25,ENSG00000003056,0.6635623945355682,0.5091523954741066
26,ENSG00000003096,0.6635392607495506,0.5091510028591497
27,ENSG00000003137,0.6635161261794554,0.5091496102440507
28,ENSG00000003147,0.6634929908253666,0.5091482176288098
29,ENSG00000003249,0.6634698546873687,0.5091468250134269
30,ENSG00000003393,0.6634467177655463,0.509145432397902
31,ENSG00000003400,0.6634235800599834,0.5091440397822351
32,ENSG00000003402,0.6634004415707647,0.5091426471664263
33,ENSG00000003436,0.6633773022979744,0.5091412545504758
34,ENSG00000003509,0.6633541622416972,0.5091398619343832
35,ENSG00000003756,0.6633310214020172,0.5091384693181488
36,ENSG00000003987,0.6633078797790191,0.5091370767017727
37,ENSG00000003989,0.6632847373727873,0.5091356840852546
38,ENSG00000004059,0.6632615941834065,0.5091342914685948
39,ENSG00000004139,0.6632384502109607,0.5091328988517931
40,ENSG00000004142,0.663215305455535,0.5091315062348499
41,ENSG00000004399,0.6631921599172135,0.5091301136177648
42,ENSG00000004455,0.6631690135960809,0.5091287210005381
