,GeneSymb,MeanPval,OR,Pval,Y,Score
19,ACLY,-2.027743049469715,-9.117673821265296,0.000135501,7.626515871467927e-10,5.906992400255094
20,ATP2A3,-2.2996213748143823,-1.5273772334424172,0.000170782,0.028834731323861697,13.225410662733305
21,ITGA3,-2.299809748552624,-3.871799089052609,8.84209e-05,0.00013432058430245907,10.88080043338487
22,GTF3C5,-2.554097530226904,-1.7381011067659207,0.000141937,0.01794870281754925,12.760210633997279
23,PHLDA3,-2.0862240422989133,-6.333255428758909,0.00125834,4.642419370167221e-07,8.632929799932281
24,LILRB1,-2.1695498769760477,-5.356461474464247,0.000122001,4.400850487264905e-06,9.52639791954981
25,TIPRL,-2.3060197176218913,-4.9193866061794145,0.000121531,1.2039492072681546e-05,9.827002947188799
26,KCNIP2,-1.9612330428481448,2.97890536530425,0.000711974,0.9989513297102933,18.070081593446208
27,SDK2,-2.9962650486207414,-1.2581233061153418,0.000150696,0.05230523703667832,12.798020916254021
28,COL4A4,-2.731845682767201,-1.4637917983092392,6.78382e-05,0.033230075872948545,12.856771789913664
29,COL4A3,-2.6072713363370275,-3.5435919582818083,0.000116667,0.00028594587721467304,10.901545976371269
30,COL4A1,-2.664589431783588,-1.1849690548379592,0.000253726,0.06131289161157219,13.202850784368557
31,GRN,-2.0944979628891307,0.382923458573608,0.000684562,0.7071772464666789,15.34083476667458
32,GARS,-2.2606895701796064,-7.3204318123743555,0.000178295,4.781544113733833e-08,7.471287888436143
33,RPS6KA1,-2.073864400203947,-3.4549559371555207,0.000196326,0.0003506644538050414,11.523588933630636
34,SFT2D1,-2.558541223425393,-6.013861344539634,0.000198924,9.685861056494875e-07,8.480006703025078
35,ITGAL,-1.575611412627431,3.095147581330307,0.00088421,0.9991973915822362,18.57194543969298
36,ITGAM,-1.8360096942312591,-5.4785690549701735,0.00017614,3.322228520354278e-06,9.737830521788672
37,FOXC1,-2.6540007653726057,-2.815726238153943,0.0007758,0.0015261964423050264,11.582682267463555
38,SMAD2,-2.731522721779463,-2.2481961055243174,0.000112358,0.005615111830853869,12.072690443686323
39,NDUFAF4,-1.872511900586624,-1.9070814331599044,0.00119477,0.01223411586087312,13.272815937243575
40,NDUFAF7,-2.0799955839120816,-0.5456678467710584,0.000306359,0.22158618811950578,14.426745840306964
41,CTH,-2.1433241857292065,-1.3474075893073552,0.000504701,0.043003401111830035,13.561677495953543
42,GDAP1,-2.4778135967333146,-2.5393555962974443,0.00030267,0.002879995657435666,12.035240077959346
43,ARF5,-2.22548619290735,-6.865767020428699,0.00127035,1.362175047049086e-07,7.961156057654055
44,AP3D1,-2.1037771951575435,-1.8760157398649642,0.00162107,0.013129387810734998,13.072616335967597
45,DBNDD2,-2.0021213670129607,-4.071787801139851,0.00133997,8.475696321118543e-05,10.978500102837293
46,DBNDD1,-1.7273867243492953,-4.250815729248833,0.000369411,5.6125457624695214e-05,11.074206817391975
47,GLTP,-2.1728368741512574,-4.641408836576756,0.000250414,2.2833960563350523e-05,10.238163560262091
48,OLIG2,-2.326751985087919,3.6196580723006986,0.000393332,0.9997599853902299,18.345315358202882
49,PIPOX,-1.7364729355535438,-3.4249477136809383,0.000876071,0.00037574142078461865,11.890988621755621
50,ADARB2,-2.6264467951981474,-2.8948910326175095,0.000272857,0.0012722020916824564,11.531071443174447
51,CCDC113,-2.2845196564238215,-0.47225432202856965,9.13183e-05,0.2521071050296046,14.295635292537714
52,FGL2,-2.1428206332925224,-2.246111083012883,0.00199312,0.0056419820096003485,12.663477554684698
53,ATP1A3,-1.994582320224167,0.0647487502953614,0.00110551,0.537203490044616,15.1225757010613
54,CLPTM1,-2.0637529480859014,-1.3902512645983938,0.00169565,0.039121648289497324,13.598405058305808
55,IPO13,-2.126778237676008,-0.8470041160878686,0.00040523,0.12452075333695928,14.078626917226227
56,HMGB2,-2.3319410845580304,-3.0207093384966184,0.000556743,0.0009525258874393548,11.699758847935456
57,EEF1A2,-2.106486457514451,-1.6930078446696308,0.00112086,0.019873496757105757,13.252914968806023
58,RBBP5,-2.116942770511775,-1.7875818795607448,0.00027201,0.01604694990133618,13.147884620917583
59,CPEB2,-2.7235517871466883,-0.07443874846569741,0.000125739,0.45725421122357063,14.254418735377719
60,ARL15,-2.136682943970465,-1.5099804411072042,0.000339552,0.02997789874417739,13.405745885912435
61,BIN1,-2.516878057113449,-0.7246152345971356,0.000392812,0.15862584014628364,13.81091597927952
62,TP53TG5,-2.060358937554376,0.9090288599335296,0.000544909,0.8902323172627856,15.901079193369258
